name	type	Description	id	prob	value	balancedByTargetCount	judgmentOnce	kind	mobSize	method	tickInterval	condition	abnormalityCategory	abnormalityKind	conditionCategory	conditionValue	mySkillCategory	isHidePassive	passivityChangeId	passivityChangeTime	prevPassivityId
#N/A	72	#N/A	21027	1	-88	FALSE	FALSE	0	all	2	0	0	0	0	1021	0					
#N/A	209	#N/A	21028	1	21040	FALSE	FALSE	0	all	4	0	0	0	0	1018	0					
#N/A	209	#N/A	21029	1	21050	FALSE	FALSE	0	all	4	0	0	0	0	1016	0					
#N/A	209	#N/A	21030	1	21060	FALSE	FALSE	0	all	4	0	0	0	0	1021	0					
#N/A	209	#N/A	21031	1	21080	FALSE	FALSE	0	all	4	0	0	0	0	1021	0					
#N/A	71	#N/A	21032	1	0,75	FALSE	FALSE	0	all	3	0	0	0	0	1021	0					
#N/A	156	#N/A	21033	0,1	21090	FALSE	TRUE	0	all	4	0	25	0	0	1019	0					
#N/A	156	#N/A	21034	0,25	21100	FALSE	TRUE	0	all	4	0	25	0	0	1003	0					
#N/A	209	#N/A	21035	1	21110	FALSE	FALSE	0	all	4	0	0	0	0	1016	0					
#N/A	71	#N/A	21036	1	0,75	FALSE	FALSE	0	all	3	0	0	0	0	1022	0					
#N/A	163	#N/A	21037	1	1,5	FALSE	FALSE	0	all	3	0	25	0	22407	1023	0					
#N/A	71	#N/A	21038	1	0,8	FALSE	FALSE	0	all	3	0	0	0	0	1023	0					
#N/A	156	#N/A	21039	0,05	21120	FALSE	TRUE	0	all	4	0	25	0	0	1001	0					
#N/A	218	#N/A	21040	1	1,5	FALSE	FALSE	0	all	3	0	0	0	0	1005	0					
#N/A	154	#N/A	21041	1	1,1	FALSE	FALSE	0	all	3	0	25	0	0	1005	0					
#N/A	164	#N/A	21042	1	2	FALSE	FALSE	0	all	3	0	25	0	0	1005	0					
#N/A	163	#N/A	21043	1	1,5	FALSE	FALSE	0	all	3	0	25	0	22409	1018	0					
#N/A	209	#N/A	21044	1	21130	FALSE	FALSE	0	all	4	0	0	0	0	1018	0					
#N/A	212	#N/A	21045	0,3	0	FALSE	FALSE	0	all	0	0	0	0	0	1017	0					
#N/A	209	#N/A	21046	1	21140	FALSE	FALSE	0	all	4	0	0	0	0	1002	0					
#N/A	3	#N/A	21047	1	1	FALSE	FALSE	0	all	3	0	0	0	0	0	0					
#N/A	218	#N/A	21048	1	1,3	FALSE	FALSE	0	all	3	0	0	0	0	1027	0					
#N/A	71	#N/A	21049	1	0,8	FALSE	FALSE	0	all	3	0	0	0	0	1027	0					
#N/A	163	#N/A	21050	1	1,5	FALSE	FALSE	0	all	3	0	25	0	22408	1028	0					
#N/A	72	#N/A	21051	1	-75	FALSE	FALSE	0	all	2	0	0	0	0	1028	0					
#N/A	161	#N/A	21052	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	1029	0					
#N/A	72	#N/A	21053	1	-80	FALSE	FALSE	0	all	2	0	0	0	0	1029	0					
#N/A	212	#N/A	21054	0,5	0	FALSE	FALSE	0	all	0	0	0	0	0	1029	0					
#N/A	161	#N/A	21064	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	1004	0					
#N/A	71	#N/A	21065	1	0,7	FALSE	FALSE	0	all	3	0	0	0	0	1010	0					
#N/A	158	#N/A	21066	1	1,005	TRUE	FALSE	0	all	3	0	25	0	0	1004	0					
#N/A	82	#N/A	21067	1	-100	FALSE	FALSE	0	all	2	0	0	0	0	1002	0					
#N/A	162	#N/A	21068	1	1,1	FALSE	FALSE	0	all	3	0	25	0	9	1009	0					
#N/A	73	#N/A	21069	1	0,5	FALSE	FALSE	0	all	3	0	0	0	0	1018	0					
#N/A	213	#N/A	21070	1	1,35	FALSE	FALSE	0	all	3	0	0	0	0	1001	0					
#N/A	71	#N/A	21071	1	0,75	FALSE	FALSE	0	all	3	0	0	0	0	1024	0					
#N/A	209	#N/A	21072	1	21131	FALSE	FALSE	0	all	4	0	0	0	0	1018	0					
#N/A	209	#N/A	21073	1	21111	FALSE	FALSE	0	all	4	0	0	0	0	1016	0					
#N/A	157	#N/A	21074	1	21160	FALSE	FALSE	0	all	4	0	25	0	0	1010	0					
#N/A	171	#N/A	21075	1	1	FALSE	FALSE	0	all	2	0	25	0	0	1022	0					
#N/A	161	#N/A	21076	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	1021	0					
#N/A	163	#N/A	21077	1	1,25	FALSE	FALSE	0	all	3	0	25	0	22405	1021	0					
#N/A	209	#N/A	21078	1	21190	FALSE	FALSE	0	all	4	0	0	0	0	1023	0					
#N/A	155	#N/A	21079	1	2	FALSE	FALSE	0	all	3	0	25	0	0	1030	0					
#N/A	172	#N/A	21080	1	1,25	FALSE	FALSE	0	all	1	0	25	0	0	1030	0					
#N/A	163	#N/A	21081	1	1,5	FALSE	FALSE	0	all	3	0	25	0	22406	1022	0					
#N/A	218	#N/A	21082	1	1,3	FALSE	FALSE	0	all	3	0	0	0	0	1027	0					
#N/A	173	#N/A	21083	1	2	FALSE	FALSE	0	all	3	0	25	0	22403	1011	0					
#N/A	171	#N/A	21084	1	1	FALSE	FALSE	0	all	2	0	25	0	0	1029	0					
#N/A	161	#N/A	21085	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	1031	0					
#N/A	210	#N/A	21086	0,3	21180	FALSE	FALSE	0	all	4	0	0	0	0	1032	0					
#N/A	164	#N/A	21087	1	1,2	FALSE	FALSE	0	all	3	0	25	0	0	1033	0					
#N/A	161	#N/A	21088	1	1,2	FALSE	FALSE	0	all	3	0	25	0	0	1034	0					
#N/A	161	#N/A	21089	1	1,2	FALSE	FALSE	0	all	3	0	25	0	0	1034	0					
#N/A	71	#N/A	21090	1	0,8	FALSE	FALSE	0	all	3	0	0	0	0	1034	0					
#N/A	163	#N/A	21091	1	1,2	FALSE	FALSE	0	all	3	0	25	0	13	1020	0					
#N/A	71	#N/A	21092	1	0,8	FALSE	FALSE	0	all	3	0	0	0	0	1034	0					
#N/A	156	#N/A	21093	1	21200	FALSE	TRUE	0	all	4	0	25	0	0	1035	0					
#N/A	71	#N/A	21094	1	0,8	FALSE	FALSE	0	all	3	0	0	0	0	1035	0					
#N/A	209	#N/A	21095	0,4	21010	FALSE	FALSE	0	all	4	0	0	0	0	1002	0					
#N/A	164	#N/A	21096	1	1,4	FALSE	FALSE	0	all	3	0	25	0	0	1003	0					
#N/A	161	#N/A	21097	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	1017	0					
#N/A	209	#N/A	21098	1	21080	FALSE	FALSE	0	all	4	0	0	0	0	1021	0					
#N/A	156	#N/A	21099	0,2	21090	FALSE	TRUE	0	all	4	0	25	0	0	1019	0					
#N/A	71	#N/A	21100	1	0,75	FALSE	FALSE	0	all	3	0	0	0	0	1022	0					
#N/A	82	#N/A	21101	1	-120	FALSE	FALSE	0	all	2	0	0	0	0	1002	0					
#N/A	162	#N/A	21102	1	1,1	FALSE	FALSE	0	all	3	0	25	0	9	1009	0					
#N/A	209	#N/A	21103	1	21111	FALSE	FALSE	0	all	4	0	0	0	0	1016	0					
#N/A	155	#N/A	21104	1	2	FALSE	FALSE	0	all	3	0	25	0	0	1030	0					
#N/A	172	#N/A	21105	1	1,3	FALSE	FALSE	0	all	1	0	25	0	0	1030	0					
#N/A	163	#N/A	21106	1	1,2	FALSE	FALSE	0	all	3	0	25	0	13	1020	0					
#N/A	155	#N/A	21107	1	2	FALSE	FALSE	0	any	3	0	25	0	0	1029	0					
#N/A	210	#N/A	22000	0,3	22010	FALSE	FALSE	0	all	4	0	0	0	0	2002	0					
#N/A	209	#N/A	22001	1	22040	FALSE	FALSE	0	all	4	0	0	0	0	2002	0					
#N/A	209	#N/A	22002	1	22020	FALSE	FALSE	0	all	4	0	0	0	0	2002	0					
#N/A	164	#N/A	22003	1	1,05	FALSE	FALSE	0	all	3	0	25	0	0	2001	0					
#N/A	164	#N/A	22004	1	1,2	FALSE	FALSE	0	all	3	0	25	0	0	2004	0					
#N/A	72	#N/A	22005	1	-60	FALSE	FALSE	0	all	2	0	0	0	0	2004	0					
#N/A	156	#N/A	22006	1	22030	FALSE	TRUE	0	all	4	0	25	0	0	2012	0					
#N/A	161	#N/A	22007	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	2003	0					
#N/A	3	#N/A	22008	1	1	FALSE	FALSE	0	all	3	0	0	0	0	0	0					
#N/A	163	#N/A	22009	1	1,25	FALSE	FALSE	0	all	3	0	25	0	22411	2005	0					
#N/A	72	#N/A	22010	1	-200	FALSE	FALSE	0	all	2	0	0	0	0	2007	0					
#N/A	161	#N/A	22012	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	2011	0					
#N/A	72	#N/A	22013	1	-19	FALSE	FALSE	0	all	2	0	0	0	0	2018	0					
#N/A	213	#N/A	22015	1	1,2	FALSE	FALSE	0	all	3	0	0	0	0	2001	0					
#N/A	211	#N/A	22016	0,35	0	FALSE	FALSE	0	all	0	0	0	0	0	2010	0					
#N/A	71	#N/A	22017	1	0,8	FALSE	FALSE	0	all	3	0	0	0	0	2009	0					
#N/A	71	#N/A	22018	1	0,8	FALSE	FALSE	0	all	3	0	0	0	0	2012	0					
#N/A	71	#N/A	22019	1	0,75	FALSE	FALSE	0	all	3	0	0	0	0	2005	0					
#N/A	161	#N/A	22020	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	2015	0					
#N/A	71	#N/A	22021	1	0,75	FALSE	FALSE	0	all	3	0	0	0	0	2016	0					
#N/A	162	#N/A	22022	1	1,1	FALSE	FALSE	0	all	3	0	25	0	19201	2017	0					
#N/A	72	#N/A	22023	1	-75	FALSE	FALSE	0	all	2	0	0	0	0	2013	0					
#N/A	71	#N/A	22024	1	0,8	FALSE	FALSE	0	all	3	0	0	0	0	2011	0					
#N/A	72	#N/A	22025	1	-60	FALSE	FALSE	0	all	2	0	0	0	0	2020	0					
#N/A	163	#N/A	22026	1	1,5	FALSE	FALSE	0	all	3	0	25	0	18	2022	0					
#N/A	212	#N/A	22027	0,3	0	FALSE	FALSE	0	all	0	0	0	0	0	2023	0					
#N/A	161	#N/A	22028	1	1,2	FALSE	FALSE	0	all	3	0	25	0	0	2021	0					
#N/A	71	#N/A	22029	1	0,8	FALSE	FALSE	0	all	3	0	0	0	0	2019	0					
#N/A	161	#N/A	22030	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	2013	0					
#N/A	3	#N/A	22031	1	1	FALSE	FALSE	0	all	3	0	0	0	0	0	0					
#N/A	72	#N/A	22032	1	-100	FALSE	FALSE	0	all	2	0	0	0	0	2003	0					
#N/A	164	#N/A	22033	1	2	FALSE	FALSE	0	all	3	0	25	0	0	2008	0					
#N/A	163	#N/A	22034	1	2	FALSE	FALSE	0	all	3	0	25	0	22409	2010	0					
#N/A	209	#N/A	22035	1	22060	FALSE	FALSE	0	all	4	0	0	0	0	2005	0					
#N/A	157	#N/A	22036	1	22070	FALSE	FALSE	0	all	4	0	25	0	0	2019	0					
#N/A	71	#N/A	22037	1	0,75	FALSE	FALSE	0	all	3	0	0	0	0	2007	0					
#N/A	163	#N/A	22038	1	1,5	FALSE	FALSE	0	all	3	0	25	0	22404	2020	0					
#N/A	71	#N/A	22039	1	0,8	FALSE	FALSE	0	all	3	0	0	0	0	2015	0					
#N/A	209	#N/A	22040	1	22080	FALSE	FALSE	0	all	4	0	0	0	0	2015	0					
#N/A	162	#N/A	22041	1	1,25	FALSE	FALSE	0	all	3	0	25	0	18	2022	0					
#N/A	162	#N/A	22042	1	0,7	FALSE	FALSE	0	all	3	0	25	0	22404	2021	0					
#N/A	217	#N/A	22043	1	75	FALSE	FALSE	0	all	2	0	0	0	0	2009	0					
#N/A	156	#N/A	22044	1	22090	FALSE	FALSE	0	all	4	0	25	0	0	2009	0					
#N/A	163	#N/A	22045	1	1,25	FALSE	FALSE	0	all	3	0	25	0	22411	2005	0					
#N/A	71	#N/A	22046	1	0,75	FALSE	FALSE	0	all	3	0	0	0	0	2005	0					
#N/A	71	#N/A	22047	1	0,8	FALSE	FALSE	0	all	3	0	0	0	0	2009	0					
#N/A	164	#N/A	22048	1	1,05	FALSE	FALSE	0	all	3	0	25	0	0	2001	0					
#N/A	72	#N/A	22049	1	-60	FALSE	FALSE	0	all	2	0	0	0	0	2004	0					
#N/A	162	#N/A	22050	1	0,7	FALSE	FALSE	0	all	3	0	25	0	22404	2021	0					
#N/A	72	#N/A	22051	1	-150	FALSE	FALSE	0	all	2	0	0	0	0	2003	0					
#N/A	71	#N/A	22052	1	0,65	FALSE	FALSE	0	all	3	0	0	0	0	2007	0					
#N/A	156	#N/A	22053	1	22030	FALSE	TRUE	0	all	4	0	25	0	0	2012	0					
#N/A	156	#N/A	22054	1	22100	FALSE	TRUE	0	all	4	0	25	0	0	2009	0					
#N/A	164	#N/A	22055	1	1,3	FALSE	FALSE	0	all	3	0	25	0	0	2009	0					
#N/A	218	#N/A	22056	1	1,25	FALSE	FALSE	0	all	3	0	0	0	0	2004	0					
#N/A	157	#N/A	22057	1	22110	FALSE	FALSE	0	all	4	0	25	0	0	2004	0					
#N/A	155	#N/A	22058	1	2	FALSE	FALSE	0	all	3	0	25	0	0	2003	0					
#N/A	164	#N/A	22059	1	1,5	FALSE	FALSE	0	all	3	0	25	0	0	2021	0					
#N/A	71	#N/A	22060	1	0,8	FALSE	FALSE	0	all	3	0	0	0	0	2024	0					
#N/A	163	#N/A	22061	1	1,5	FALSE	FALSE	0	all	3	0	25	0	22440	2024	0					
#N/A	213	#N/A	22062	1	1,2	FALSE	FALSE	0	all	3	0	0	0	0	2001	0					
#N/A	164	#N/A	22063	1	2	FALSE	FALSE	0	all	3	0	25	0	0	2008	0					
#N/A	164	#N/A	22064	1	3	FALSE	FALSE	0	all	3	0	25	0	0	2018	0					
#N/A	156	#N/A	22065	0,3	22130	FALSE	TRUE	0	all	4	0	25	0	0	2013	0					
#N/A	161	#N/A	22066	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	2025	0					
#N/A	82	#N/A	22067	1	-100	FALSE	FALSE	0	all	2	0	0	0	0	2026	0					
#N/A	231	#N/A	22068	1	1,3	FALSE	FALSE	0	all	3	0	0	0	0	2004	0					
#N/A	231	#N/A	22069	1	1,5	FALSE	FALSE	0	all	3	0	0	0	0	2008	0					
#N/A	177	#N/A	22070	1	1,2	FALSE	FALSE	0	all	3	0	25	0	0	2016	0					
#N/A	26	#N/A	22071	1	500	FALSE	FALSE	0	all	2	0	0	0	0	2002	0					
#N/A	71	#N/A	22072	1	0,8	FALSE	FALSE	0	all	3	0	0	0	0	2027	0					
#N/A	163	#N/A	22073	1	1,3	FALSE	FALSE	0	all	3	0	25	0	68	2027	0					
#N/A	72	#N/A	22074	1	-150	FALSE	FALSE	0	all	2	0	0	0	0	2027	0					
#N/A	164	#N/A	22075	1	2	FALSE	FALSE	0	all	3	0	25	0	0	2027	0					
#N/A	164	#N/A	22076	1	2	FALSE	FALSE	0	all	3	0	25	0	0	2027	0					
#N/A	163	#N/A	22077	1	1,3	FALSE	FALSE	0	all	3	0	25	0	68	2027	0					
#N/A	71	#N/A	22078	1	0,8	FALSE	FALSE	0	all	3	0	0	0	0	2027	0					
#N/A	164	#N/A	22079	1	1,4	FALSE	FALSE	0	all	3	0	25	0	0	2004	0					
#N/A	161	#N/A	22080	1	1,3	FALSE	FALSE	0	all	3	0	25	0	0	2003	0					
#N/A	161	#N/A	22081	1	1,3	FALSE	FALSE	0	all	3	0	25	0	0	2013	0					
#N/A	163	#N/A	22082	1	2	FALSE	FALSE	0	all	3	0	25	0	22409	2010	0					
#N/A	71	#N/A	22083	1	0,8	FALSE	FALSE	0	all	3	0	0	0	0	2015	0					
#N/A	72	#N/A	22084	1	-80	FALSE	FALSE	0	all	2	0	0	0	0	2004	0					
#N/A	218	#N/A	22085	1	1,25	FALSE	FALSE	0	all	3	0	0	0	0	2004	0					
#N/A	164	#N/A	22086	1	2,2	FALSE	FALSE	0	all	3	0	25	0	0	2008	0					
#N/A	164	#N/A	22087	1	3	FALSE	FALSE	0	all	3	0	25	0	0	2018	0					
#N/A	161	#N/A	22088	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	2025	0					
#N/A	82	#N/A	22089	1	-100	FALSE	FALSE	0	all	2	0	0	0	0	2026	0					
#N/A	164	#N/A	22090	1	2,2	FALSE	FALSE	0	all	3	0	25	0	0	2027	0					
#N/A	209	#N/A	23000	0,3	23010	FALSE	FALSE	0	all	4	0	0	0	0	3004	0					
#N/A	209	#N/A	23001	0,1	23020	FALSE	FALSE	0	all	4	0	0	0	0	3001	0					
#N/A	161	#N/A	23002	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	3001	0					
#N/A	72	#N/A	23003	1	-33	FALSE	FALSE	0	all	2	0	0	0	0	3018	0					
#N/A	161	#N/A	23004	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	3002	0					
#N/A	161	#N/A	23005	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	3010	0					
#N/A	209	#N/A	23007	1	23030	FALSE	FALSE	0	all	4	0	0	0	0	3002	0					
#N/A	209	#N/A	23008	1	23040	FALSE	FALSE	0	all	4	0	0	0	0	3010	0					
#N/A	212	#N/A	23009	0,5	0	FALSE	FALSE	0	all	0	0	0	0	0	3008	0					
#N/A	213	#N/A	23010	1	1,1	FALSE	FALSE	0	all	3	0	0	0	0	3001	0					
#N/A	166	#N/A	23011	1	1,5	FALSE	FALSE	0	all	3	0	25	0	0	3007	0					
#N/A	72	#N/A	23012	1	-63	FALSE	FALSE	0	all	2	0	0	0	0	3003	0					
#N/A	71	#N/A	23013	1	0,75	FALSE	FALSE	0	all	3	0	0	0	0	3005	0					
#N/A	71	#N/A	23014	1	0,85	FALSE	FALSE	0	all	3	0	0	0	0	3006	0					
#N/A	71	#N/A	23015	1	0,8	FALSE	FALSE	0	all	3	0	0	0	0	3007	0					
#N/A	161	#N/A	23016	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	3012	0					
#N/A	161	#N/A	23017	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	3016	0					
#N/A	161	#N/A	23018	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	3013	0					
#N/A	71	#N/A	23019	1	0,75	FALSE	FALSE	0	all	3	0	0	0	0	3017	0					
#N/A	72	#N/A	23020	1	-50	FALSE	FALSE	0	all	2	0	0	0	0	3009	0					
#N/A	72	#N/A	23021	1	-18	FALSE	FALSE	0	all	2	0	0	0	0	3014	0					
#N/A	72	#N/A	23022	1	-30	FALSE	FALSE	0	all	2	0	0	0	0	3015	0					
#N/A	71	#N/A	23023	1	0,8	FALSE	FALSE	0	all	3	0	0	0	0	3010	0					
#N/A	158	#N/A	23024	1	1,03	TRUE	TRUE	0	all	3	0	25	0	0	3008	0					
#N/A	71	#N/A	23025	1	0,8	FALSE	FALSE	0	all	3	0	0	0	0	3019	0					
#N/A	161	#N/A	23026	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	3021	0					
#N/A	72	#N/A	23027	1	-50	FALSE	FALSE	0	all	2	0	0	0	0	3020	0					
#N/A	212	#N/A	23028	0,35	0	FALSE	FALSE	0	all	0	0	0	0	0	3012	0					
#N/A	209	#N/A	23029	1	23050	FALSE	FALSE	0	all	4	0	0	0	0	3007	0					
#N/A	209	#N/A	23030	1	23060	FALSE	FALSE	0	all	4	0	0	0	0	3006	0					
#N/A	209	#N/A	23031	1	23070	FALSE	FALSE	0	all	4	0	0	0	0	3006	0					
#N/A	209	#N/A	23032	1	23080	FALSE	FALSE	0	all	4	0	0	0	0	3016	0					
#N/A	209	#N/A	23033	1	23090	FALSE	TRUE	0	all	4	0	0	0	0	3016	0					
#N/A	71	#N/A	23034	1	0,75	FALSE	FALSE	0	all	3	0	0	0	0	3021	0					
#N/A	156	#N/A	23035	0,2	23100	FALSE	TRUE	0	all	4	0	25	0	0	3014	0					
#N/A	209	#N/A	23036	1	23110	FALSE	FALSE	0	all	4	0	0	0	0	3019	0					
#N/A	209	#N/A	23037	1	23060	FALSE	FALSE	0	all	4	0	0	0	0	3020	0					
#N/A	212	#N/A	23038	0,2	0	FALSE	FALSE	0	all	0	0	0	0	0	3004	0					
#N/A	209	#N/A	23039	1	23120	FALSE	FALSE	0	all	4	0	0	0	0	3004	0					
#N/A	209	#N/A	23040	1	23130	FALSE	FALSE	0	all	4	0	0	0	0	3002	0					
#N/A	153	#N/A	23041	1	1,2	FALSE	FALSE	0	all	3	0	25	0	0	3002	0					
#N/A	163	#N/A	23042	1	1,3	FALSE	FALSE	0	all	3	0	25	0	22414	3015	0					
#N/A	209	#N/A	23043	1	23060	FALSE	FALSE	0	all	4	0	0	0	0	3015	0					
#N/A	209	#N/A	23044	1	23070	FALSE	FALSE	0	all	4	0	0	0	0	3015	0					
#N/A	212	#N/A	23046	0,5	0	FALSE	FALSE	0	all	0	0	0	0	0	3008	0					
#N/A	161	#N/A	23047	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	3002	0					
#N/A	161	#N/A	23048	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	3013	0					
#N/A	158	#N/A	23049	1	1,03	TRUE	TRUE	0	all	3	0	25	0	0	3008	0					
#N/A	209	#N/A	23050	0,1	23020	FALSE	FALSE	0	all	4	0	0	0	0	3001	0					
#N/A	71	#N/A	23051	1	0,65	FALSE	FALSE	0	all	3	0	0	0	0	3021	0					
#N/A	209	#N/A	23052	1	23111	FALSE	FALSE	0	all	4	0	0	0	0	3019	0					
#N/A	71	#N/A	23053	1	0,7	FALSE	FALSE	0	all	3	0	0	0	0	3019	0					
#N/A	209	#N/A	23054	1	23061	FALSE	FALSE	0	all	4	0	0	0	0	3006	0					
#N/A	209	#N/A	23055	1	23160	FALSE	FALSE	0	all	4	0	0	0	0	3003	0					
#N/A	209	#N/A	23056	1	23200	FALSE	FALSE	0	all	4	0	0	0	0	3004	0					
#N/A	209	#N/A	23057	1	23170	FALSE	FALSE	0	all	4	0	0	0	0	3012	0					
#N/A	157	#N/A	23058	1	23140	FALSE	FALSE	0	all	4	0	25	0	0	3018	0					
#N/A	157	#N/A	23059	1	23150	FALSE	FALSE	0	all	4	0	25	0	0	3018	0					
#N/A	218	#N/A	23060	1	1,25	FALSE	FALSE	0	all	3	0	0	0	0	3015	0					
#N/A	155	#N/A	23061	1	2	FALSE	FALSE	0	all	3	0	25	0	0	3023	0					
#N/A	161	#N/A	23062	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	3023	0					
#N/A	161	#N/A	23063	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	3016	0					
#N/A	71	#N/A	23064	1	0,8	FALSE	FALSE	0	all	3	0	0	0	0	3006	0					
#N/A	156	#N/A	23065	0,3	23100	FALSE	TRUE	0	all	4	0	25	0	0	3014	0					
#N/A	209	#N/A	23066	1	23190	FALSE	FALSE	0	all	4	0	0	0	0	3017	0					
#N/A	161	#N/A	23067	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	3024	0					
#N/A	161	#N/A	23068	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	3024	0					
#N/A	209	#N/A	23069	1	23031	FALSE	FALSE	0	all	4	0	0	0	0	3024	0					
#N/A	71	#N/A	23070	1	0,8	FALSE	FALSE	0	all	3	0	0	0	0	3024	0					
#N/A	209	#N/A	23071	1	23032	FALSE	FALSE	0	all	4	0	0	0	0	3024	0					
#N/A	157	#N/A	23072	0,5	23210	FALSE	FALSE	0	all	4	0	25	0	0	3019	0					
#N/A	209	#N/A	23073	0,3	23010	FALSE	FALSE	0	all	4	0	0	0	0	3004	0					
#N/A	161	#N/A	23074	1	1,3	FALSE	FALSE	0	all	3	0	25	0	0	3012	0					
#N/A	161	#N/A	23075	1	1,4	FALSE	FALSE	0	all	3	0	25	0	0	3016	0					
#N/A	209	#N/A	23076	1	23060	FALSE	FALSE	0	all	4	0	0	0	0	3015	0					
#N/A	212	#N/A	23077	0,6	0	FALSE	FALSE	0	all	0	0	0	0	0	3008	0					
#N/A	161	#N/A	23078	1	1,3	FALSE	FALSE	0	all	3	0	25	0	0	3002	0					
#N/A	209	#N/A	23079	1	23160	FALSE	FALSE	0	all	4	0	0	0	0	3003	0					
#N/A	157	#N/A	23080	1	23140	FALSE	FALSE	0	all	4	0	25	0	0	3018	0					
#N/A	155	#N/A	23081	1	3	FALSE	FALSE	0	all	3	0	25	0	0	3023	0					
#N/A	161	#N/A	23082	1	1,3	FALSE	FALSE	0	all	3	0	25	0	0	3023	0					
#N/A	161	#N/A	23083	1	1,25	FALSE	FALSE	0	all	3	0	25	0	0	3024	0					
#N/A	209	#N/A	23084	1	23031	FALSE	FALSE	0	all	4	0	0	0	0	3024	0					
