class	id	Name	tooltip
Archer	11100	Arrow XI	Shoot an arrow at a target up to $maxDistance away. Each successful hit generates 1 stack of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.)
Archer	11200	Arrow XII	Shoot an arrow at a target up to $maxDistance away. Each successful hit generates 1 stack of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.)
Archer	20100	Arrow Volley I	Press the skill button once and mouse over to lock on up to $maxCount targets within $maxDistance, then press the skill button again or left-click to shoot at all targets.
Archer	20110	Arrow Volley I	Press the skill button once and mouse over to lock on up to $maxCount targets within $maxDistance, then press the skill button again or left-click to shoot at all targets.
Archer	20200	Arrow Volley II	Press the skill button once and mouse over to lock on up to $maxCount targets within $maxDistance, then press the skill button again or left-click to shoot at all targets.
Archer	20210	Arrow Volley II	Press the skill button once and mouse over to lock on up to $maxCount targets within $maxDistance, then press the skill button again or left-click to shoot at all targets.
Archer	20300	Arrow Volley III	Press the skill button once and mouse over to lock on up to $maxCount targets within $maxDistance, then press the skill button again or left-click to shoot at all targets.
Archer	20310	Arrow Volley III	Press the skill button once and mouse over to lock on up to $maxCount targets within $maxDistance, then press the skill button again or left-click to shoot at all targets.
Archer	20400	Arrow Volley IV	Press the skill button once and mouse over to lock on up to $maxCount targets within $maxDistance, then press the skill button again or left-click to shoot at all targets.
Archer	20410	Arrow Volley IV	Press the skill button once and mouse over to lock on up to $maxCount targets within $maxDistance, then press the skill button again or left-click to shoot at all targets.
Archer	20500	Arrow Volley V	Press the skill button once and mouse over to lock on up to $maxCount targets within $maxDistance, then press the skill button again or left-click to shoot at all targets.
Archer	20510	Arrow Volley V	Press the skill button once and mouse over to lock on up to $maxCount targets within $maxDistance, then press the skill button again or left-click to shoot at all targets.
Archer	20600	Arrow Volley VI	Press the skill button once and mouse over to lock on up to $maxCount targets within $maxDistance, then press the skill button again or left-click to shoot at all targets.
Archer	20610	Arrow Volley VI	Press the skill button once and mouse over to lock on up to $maxCount targets within $maxDistance, then press the skill button again or left-click to shoot at all targets.
Archer	20700	Arrow Volley VII	Press the skill button once and mouse over to lock on up to $maxCount targets within $maxDistance, then press the skill button again or left-click to shoot at all targets.
Archer	20710	Arrow Volley VII	Press the skill button once and mouse over to lock on up to $maxCount targets within $maxDistance, then press the skill button again or left-click to shoot at all targets.
Archer	20800	Arrow Volley VIII	Press the skill button once and mouse over to lock on up to $maxCount targets within $maxDistance, then press the skill button again or left-click to shoot at all targets.
Archer	20810	Arrow Volley VIII	Press the skill button once and mouse over to lock on up to $maxCount targets within $maxDistance, then press the skill button again or left-click to shoot at all targets.
Archer	20900	Arrow Volley IX	Press the skill button once and mouse over to lock on up to $maxCount targets within $maxDistance, then press the skill button again or left-click to shoot at all targets.
Archer	20910	Arrow Volley IX	Press the skill button once and mouse over to lock on up to $maxCount targets within $maxDistance, then press the skill button again or left-click to shoot at all targets.
Archer	21000	Arrow Volley X	Press the skill button once and mouse over to lock on up to $maxCount targets within $maxDistance, then press the skill button again or left-click to shoot at all targets.
Archer	21010	Arrow Volley X	Press the skill button once and mouse over to lock on up to $maxCount targets within $maxDistance, then press the skill button again or left-click to shoot at all targets.
Archer	21100	Arrow Volley XI	Press the skill button once and mouse over to lock on up to $maxCount targets within $maxDistance, then press the skill button again or left-click to shoot at all targets.
Archer	30100	Radiant Arrow I	Charge up the arrow's damage by holding down the skill button, then shoot the arrow up to $maxDistance by releasing the button. Only charges to one level.
Archer	30200	Radiant Arrow II	Charge up the arrow's damage by holding down the skill button, then shoot the arrow up to $maxDistance by releasing the button. Only charges to two levels.
Archer	30300	Radiant Arrow III	Charge up the arrow's damage by holding down the skill button, then shoot the arrow up to $maxDistance by releasing the button. Only charges to two levels.
Archer	30400	Radiant Arrow IV	Charge up the arrow's damage by holding down the skill button, then shoot the arrow up to $maxDistance by releasing the button. Charges to three levels. Overcharging beyond the third-level charge will damage you. While charging up, you can move at half speed.
Archer	30500	Radiant Arrow V	Charge up the arrow's damage by holding down the skill button, then shoot the arrow up to $maxDistance by releasing the button. Charges to three levels. Overcharging beyond the third-level charge will damage you. While charging up, you can move at half speed.
Archer	30600	Radiant Arrow VI	Charge up the arrow's damage by holding down the skill button, then shoot the arrow up to $maxDistance by releasing the button. Charges to three levels. Overcharging beyond the third-level charge will damage you. While charging up, you can move at half speed.
Archer	30700	Radiant Arrow VII	Charge up the arrow's damage by holding down the skill button, then shoot the arrow up to $maxDistance by releasing the button. Charges to three levels. Overcharging beyond the third-level charge will damage you. While charging up, you can move at half speed.
Archer	30800	Radiant Arrow VIII	Charge up the arrow's damage by holding down the skill button, then shoot the arrow up to $maxDistance by releasing the button. Charges to three levels. Overcharging beyond the third-level charge will damage you. While charging up, you can move at half speed.
Archer	30900	Radiant Arrow IX	Charge up the arrow's damage by holding down the skill button, then shoot the arrow up to $maxDistance by releasing the button. Charges to three levels. Overcharging beyond the third-level charge will damage you. While charging up, you can move at half speed.
Archer	40100	Penetrating Arrow I	Charge up the arrow's damage by holding down the skill button, then shoot the arrow at up to $pierceDepth targets in a $maxDistance line by releasing the button. Arrow shoots when you release the button. Only charges to one level.
Archer	40200	Penetrating Arrow II	Charge up the arrow's damage by holding down the skill button, then shoot the arrow at up to $pierceDepth targets in a $maxDistance line by releasing the button. Arrow shoots when you release the button. Only charges to two levels.
Archer	40300	Penetrating Arrow III	Charge up the arrow's damage by holding down the skill button, then shoot the arrow at up to $pierceDepth targets in a $maxDistance line by releasing the button. Arrow shoots when you release the button. Only charges to two levels. While charging up, you can move at half speed.
Archer	40400	Penetrating Arrow IV	Charge up the arrow's damage by holding down the skill button, then shoot the arrow at up to $pierceDepth targets in a $maxDistance line by releasing the button. Arrow shoots when you release the button. Charges to three levels. Overcharging beyond the third-level charge will damage you. While charging up, you can move at half speed.
Archer	40500	Penetrating Arrow V	Charge up the arrow's damage by holding down the skill button, then shoot the arrow at up to $pierceDepth targets in a $maxDistance line by releasing the button. Arrow shoots when you release the button. Charges to three levels. Overcharging beyond the third-level charge will damage you. While charging up, you can move at half speed.
Archer	40600	Penetrating Arrow VI	Charge up the arrow's damage by holding down the skill button, then shoot the arrow at up to $pierceDepth targets in a $maxDistance line by releasing the button. Arrow shoots when you release the button. Charges to three levels. Overcharging beyond the third-level charge will damage you. While charging up, you can move at half speed.
Archer	40700	Penetrating Arrow VII	Charge up the arrow's damage by holding down the skill button, then shoot the arrow at up to $pierceDepth targets in a $maxDistance line by releasing the button. Arrow shoots when you release the button. Charges to three levels. Overcharging beyond the third-level charge will damage you. While charging up, you can move at half speed.
Archer	40800	Penetrating Arrow VIII	Charge up the arrow's damage by holding down the skill button, then shoot the arrow at up to $pierceDepth targets in a $maxDistance line by releasing the button. Arrow shoots when you release the button. Charges to three levels. Overcharging beyond the third-level charge will damage you. While charging up, you can move at half speed.
Archer	40900	Penetrating Arrow IX	Charge up the arrow's damage by holding down the skill button, then shoot the arrow at up to $pierceDepth targets in a $maxDistance line by releasing the button. Arrow shoots when you release the button. Charges to three levels. Overcharging beyond the third-level charge will damage you. While charging up, you can move at half speed.
Archer	41000	Penetrating Arrow X	Charge up the arrow's damage by holding down the skill button, then shoot the arrow at up to $pierceDepth targets in a $maxDistance line by releasing the button. Arrow shoots when you release the button. Charges to three levels. Overcharging beyond the third-level charge will damage you. While charging up, you can move at half speed.
Archer	41100	Penetrating Arrow XI	Charge up the arrow's damage by holding down the skill button, then shoot the arrow at up to $pierceDepth targets in a $maxDistance line by releasing the button. Arrow shoots when you release the button. Charges to three levels. Overcharging beyond the third-level charge will damage you. While charging up, you can move at half speed.
Archer	41200	Penetrating Arrow XII	Charge up the arrow's damage by holding down the skill button, then shoot the arrow at up to $pierceDepth targets in a $maxDistance line by releasing the button. Arrow shoots when you release the button. Charges to three levels. Overcharging beyond the third-level charge will damage you. While charging up, you can move at half speed.
Archer	50100	Rain of Arrows I	Shoot arrows into the sky; they descend $offsetDistance away and damage targets in the circle where they land.
Archer	50200	Rain of Arrows II	Shoot arrows into the sky; they descend $offsetDistance away and damage targets in the circle where they land.
Archer	60100	Backstep	Quickly leap out of harm's way.
Archer	70100	Feign Death I	Deceive monsters by pretending to be dead. This resets all aggro on you. You can feign death for up to $time. Ends when you use a skill or take damage.
Archer	70200	Feign Death II	Deceive monsters by pretending to be dead. This resets all aggro on you. You can feign death for up to $time. Ends when you use a skill or take damage.
Archer	70300	Feign Death III	Deceive monsters by pretending to be dead. This resets all aggro on you. You can feign death for up to $time. Ends when you use a skill or take damage.
Archer	80100	Rapid Fire I	Hold down the skill button to quickly fire up to 7 arrows $maxDistance away. Each successful hit generates 1 stack of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.) 
Archer	80200	Rapid Fire II	Hold down the skill button to quickly fire up to 7 arrows $maxDistance away. Each successful hit generates 1 stack of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.) 
Archer	80300	Rapid Fire III	Hold down the skill button to quickly fire up to 7 arrows $maxDistance away. Each successful hit generates 1 stack of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.) 
Archer	80400	Rapid Fire IV	Hold down the skill button to quickly fire up to 7 arrows $maxDistance away. Each successful hit generates 1 stack of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.) 
Archer	80500	Rapid Fire V	Hold down the skill button to quickly fire up to 7 arrows $maxDistance away. Each successful hit generates 1 stack of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.) 
Archer	80600	Rapid Fire VI	Hold down the skill button to quickly fire up to 7 arrows $maxDistance away. Each successful hit generates 1 stack of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.) 
Archer	80700	Rapid Fire VII	Hold down the skill button to quickly fire up to 7 arrows $maxDistance away. Each successful hit generates 1 stack of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.) 
Archer	80800	Rapid Fire VIII	Hold down the skill button to quickly fire up to 7 arrows $maxDistance away. Each successful hit generates 1 stack of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.) 
Archer	80900	Rapid Fire IX	Hold down the skill button to quickly fire up to 7 arrows $maxDistance away. Each successful hit generates 1 stack of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.) 
Archer	90100	Slow Trap I	Set a trap that briefly slows the victim's Movement Speed by $value. The trap lasts for 15 seconds or until triggered.
Archer	90200	Slow Trap II	Set a trap that briefly slows the victim's Movement Speed by $value. The trap lasts for 15 seconds or until triggered.
Archer	90300	Slow Trap III	Set a trap that briefly slows the victim's Movement Speed by $value. The trap lasts for 15 seconds or until triggered.
Archer	90400	Slow Trap IV	Set a trap that briefly slows the victim's Movement Speed by $value. The trap lasts for 15 seconds or until triggered.
Archer	90500	Slow Trap V	Set a trap that briefly slows the victim's Movement Speed by $value. The trap lasts for 15 seconds or until triggered.
Archer	90600	Slow Trap VI	Set a trap that briefly slows the victim's Movement Speed by $value. The trap lasts for 15 seconds or until triggered.
Archer	100100	Stunning Trap I	Set a trap that briefly stuns the victim. The trap lasts for 20 seconds or until triggered.
Archer	100200	Stunning Trap II	Set a trap that briefly stuns the victim. The trap lasts for 20 seconds or until triggered.
Archer	100300	Stunning Trap III	Set a trap that briefly stuns the victim. The trap lasts for 20 seconds or until triggered.
Archer	100400	Stunning Trap IV	Set a trap that briefly stuns the victim. The trap lasts for 20 seconds or until triggered.
Archer	110100	Poison Trap I	Set a trap that damages the victim by $value each $tickInterval for $time. The trap lasts for 20 seconds or until triggered. Does less damage to other players.
Archer	110200	Poison Trap II	Set a trap that damages the victim by $value each $tickInterval for $time. The trap lasts for 20 seconds or until triggered. Does less damage to other players.
Archer	110300	Poison Trap III	Set a trap that damages the victim by $value each $tickInterval for $time. The trap lasts for 20 seconds or until triggered. Does less damage to other players.
Archer	110400	Poison Trap IV	Set a trap that damages the victim by $value each $tickInterval for $time. The trap lasts for 20 seconds or until triggered. Does less damage to other players.
Archer	110500	Poison Trap V	Set a trap that damages the victim by $value each $tickInterval for $time. The trap lasts for 20 seconds or until triggered. Does less damage to other players.
Archer	120100	Velik's Mark I	Mark a target within $maxDistance for $time. You deal 10% more damage to the marked target.
Archer	120200	Velik's Mark II	Mark a target within $maxDistance for $time. You deal 10% more damage to the marked target.
Archer	120300	Velik's Mark III	Mark a target within $maxDistance for $time. You deal 10% more damage to the marked target.
Archer	140100	Retaliate I	Leap to your feet while attacking your target. You can use this skill only when knocked down. You become briefly immune to knockdown, stagger, and stuns.
Archer	140200	Retaliate II	Leap to your feet while attacking your target. You can use this skill only when knocked down. You become briefly immune to knockdown, stagger, and stuns.
Archer	140300	Retaliate III	Leap to your feet while attacking your target. You can use this skill only when knocked down. You become briefly immune to knockdown, stagger, and stuns.
Archer	140400	Retaliate IV	Leap to your feet while attacking your target. You can use this skill only when knocked down. You become briefly immune to knockdown, stagger, and stuns.
Archer	140500	Retaliate V	Leap to your feet while attacking your target. You can use this skill only when knocked down. You become briefly immune to knockdown, stagger, and stuns.
Archer	140600	Retaliate VI	Leap to your feet while attacking your target. You can use this skill only when knocked down. You become briefly immune to knockdown, stagger, and stuns.
Archer	140700	Retaliate VII	Leap to your feet while attacking your target. You can use this skill only when knocked down. You become briefly immune to knockdown, stagger, and stuns.
Archer	140800	Retaliate VIII	Leap to your feet while attacking your target. You can use this skill only when knocked down. You become briefly immune to knockdown, stagger, and stuns.
Archer	140900	Retaliate IX	Leap to your feet while attacking your target. You can use this skill only when knocked down. You become briefly immune to knockdown, stagger, and stuns.
Archer	141000	Retaliate X	Leap to your feet while attacking your target. You can use this skill only when knocked down. You become briefly immune to knockdown, stagger, and stuns.
Archer	150100	Incendiary Trap I	Set a trap that damages the victim that steps on it and others nearby. The trap lasts for 12 seconds or until triggered.
Archer	150200	Incendiary Trap II	Set a trap that damages the victim that steps on it and others nearby. The trap lasts for 12 seconds or until triggered.
Archer	150300	Incendiary Trap III	Set a trap that damages the victim that steps on it and others nearby. The trap lasts for 12 seconds or until triggered.
Archer	150400	Incendiary Trap IV	Set a trap that damages the victim that steps on it and others nearby. The trap lasts for 12 seconds or until triggered.
Archer	150500	Incendiary Trap V	Set a trap that damages the victim that steps on it and others nearby. The trap lasts for 12 seconds or until triggered.
Archer	150600	Incendiary Trap VI	Set a trap that damages the victim that steps on it and others nearby. The trap lasts for 12 seconds or until triggered.
Archer	150700	Incendiary Trap VII	Set a trap that damages the victim that steps on it and others nearby. The trap lasts for 12 seconds or until triggered.
Archer	160100	Breakaway Bolt I	Shoot an explosive arrow that damages targets within $maxDistance, while leaping out of harm's way.
Archer	160200	Breakaway Bolt II	Shoot an explosive arrow that damages targets within $maxDistance, while leaping out of harm's way.
Archer	160300	Breakaway Bolt III	Shoot an explosive arrow that damages targets within $maxDistance, while leaping out of harm's way.
Archer	160400	Breakaway Bolt IV	Shoot an explosive arrow that damages targets within $maxDistance, while leaping out of harm's way.
Archer	160500	Breakaway Bolt V	Shoot an explosive arrow that damages targets within $maxDistance, while leaping out of harm's way.
Archer	160600	Breakaway Bolt VI	Shoot an explosive arrow that damages targets within $maxDistance, while leaping out of harm's way.
Archer	160700	Breakaway Bolt VII	Shoot an explosive arrow that damages targets within $maxDistance, while leaping out of harm's way.
Archer	160800	Breakaway Bolt VIII	Shoot an explosive arrow that damages targets within $maxDistance, while out of harm's way.
Archer	160900	Breakaway Bolt IX	Shoot an explosive arrow that damages targets within $maxDistance, while leaping out of harm's way.
Archer	161000	Breakaway Bolt X	Shoot an explosive arrow that damages targets within $maxDistance, while leaping out of harm's way.
Archer	170100	Web Arrow I	Shoot an arrow up to $maxDistance, inflicting damage and slowing the target's Movement Speed by $value for $time. 
Archer	170200	Web Arrow II	Shoot an arrow up to $maxDistance, inflicting damage and slowing the target's Movement Speed by $value for $time. 
Archer	170300	Web Arrow III	Shoot an arrow up to $maxDistance, inflicting damage and slowing the target's Movement Speed by $value for $time. 
Archer	180100	Close Quarters I	Strike a foe in front of you. Press the skill button twice to make a second attack that may stun the foe.
Archer	180200	Close Quarters II	Strike a foe in front of you. Press the skill button twice to make a second attack that may stun the foe.
Archer	180300	Close Quarters III	Strike a foe in front of you. Press the skill button twice to make a second attack that may stun the foe.
Archer	180400	Close Quarters IV	Strike a foe in front of you. Press the skill button twice to make a second attack that may stun the foe.
Archer	180500	Close Quarters V	Strike a foe in front of you. Press the skill button twice to make a second attack that may stun the foe.
Archer	180600	Close Quarters VI	Strike a foe in front of you. Press the skill button twice to make a second attack that may stun the foe.
Archer	180700	Close Quarters VII	Strike a foe in front of you. Press the skill button twice to make a second attack that may stun the foe.
Archer	180800	Close Quarters VIII	Strike a foe in front of you. Press the skill button twice to make a second attack that may stun the foe.
Archer	180900	Close Quarters IX	Strike a foe in front of you. Press the skill button twice to make a second attack that may stun the foe.
Archer	181000	Close Quarters X	Strike a foe in front of you. Press the skill button twice to make a second attack that may stun the foe.
Archer	190100	Poison Arrow I	Shoot an arrow dripping with lethal poison. The arrow flies $maxDistance, inflicting damage to the target and additionally inflicting $value damage every $tickInterval for $time. Can be stacked up to 3 times.
Archer	190200	Poison Arrow II	Shoot an arrow dripping with lethal poison. The arrow flies $maxDistance, inflicting damage to the target and additionally inflicting $value damage every $tickInterval for $time. Can be stacked up to 3 times.
Archer	190300	Poison Arrow III	Shoot an arrow dripping with lethal poison. The arrow flies $maxDistance, inflicting damage to the target and additionally inflicting $value damage every $tickInterval for $time. Can be stacked up to 3 times.
Archer	190400	Poison Arrow IV	Shoot an arrow dripping with lethal poison. The arrow flies $maxDistance, inflicting damage to the target and additionally inflicting $value damage every $tickInterval for $time. Can be stacked up to 3 times.
Archer	190500	Poison Arrow V	Shoot an arrow dripping with lethal poison. The arrow flies $maxDistance, inflicting damage to the target and additionally inflicting $value damage every $tickInterval for $time. Can be stacked up to 3 times.
Archer	190600	Poison Arrow VI	Shoot an arrow dripping with lethal poison. The arrow flies $maxDistance, inflicting damage to the target and additionally inflicting $value damage every $tickInterval for $time. Can be stacked up to 3 times.
Archer	190700	Poison Arrow VII	Shoot an arrow dripping with lethal poison. The arrow flies $maxDistance, inflicting damage to the target and additionally inflicting $value damage every $tickInterval for $time. Can be stacked up to 3 times.
Archer	190800	Poison Arrow VIII	Shoot an arrow dripping with lethal poison. The arrow flies $maxDistance, inflicting damage to the target and additionally inflicting $value damage every $tickInterval for $time. Can be stacked up to 3 times.
Archer	200100	Restraining Arrow I	Shoots an arrow up to $maxDistance, decreasing the target's Movement Speed by $value2 and Attack Speed by $value for a short time.
Archer	200200	Restraining Arrow II	Shoots an arrow up to $maxDistance, decreasing the target's Movement Speed by $value2 and Attack Speed by $value for a short time.
Archer	210100	Sniper's Eye I	Increases Power by 30, Attack Speed by 4, and Movement Speed by 8. Increases damage to monsters by 7%.
Archer	210200	Sniper's Eye II	Increase Power by 30, Attack Speed by 8, and Movement Speed by 16. Increases damage to monsters by 7%.
Archer	220100	Sequential Fire I	Fire a quick, damaging arrow after casting Radiant Arrow, Penetrating Arrow, or Thunderbolt, which cancels the stagger effect from those skills. A successful hit generates 3 stacks of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.)
Archer	220200	Sequential Fire II	Fire a quick, damaging arrow after casting Radiant Arrow, Penetrating Arrow, or Thunderbolt, which cancels the stagger effect from those skills. A successful hit generates 3 stacks of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.)
Archer	220300	Sequential Fire III	Fire a quick, damaging arrow after casting Radiant Arrow, Penetrating Arrow, or Thunderbolt, which cancels the stagger effect from those skills. A successful hit generates 3 stacks of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.)
Archer	220400	Sequential Fire IV	Fire a quick, damaging arrow after casting Radiant Arrow, Penetrating Arrow, or Thunderbolt, which cancels the stagger effect from those skills. A successful hit generates 3 stacks of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.)
Archer	220500	Sequential Fire V	Fire a quick, damaging arrow after casting Radiant Arrow, Penetrating Arrow, or Thunderbolt, which cancels the stagger effect from those skills. A successful hit generates 3 stacks of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.)
Archer	220600	Sequential Fire VI	Fire a quick, damaging arrow after casting Radiant Arrow, Penetrating Arrow, or Thunderbolt, which cancels the stagger effect from those skills. A successful hit generates 3 stacks of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.)
Archer	220700	Sequential Fire VII	Fire a quick, damaging arrow after casting Radiant Arrow, Penetrating Arrow, or Thunderbolt, which cancels the stagger effect from those skills. A successful hit generates 3 stacks of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.)
Archer	220800	Sequential Fire VIII	Fire a quick, damaging arrow after casting Radiant Arrow, Penetrating Arrow, or Thunderbolt, which cancels the stagger effect from those skills. A successful hit generates 3 stacks of Focus. (Stack Focus 10 times to reduce the charging speed of Penetrating Arrow and Radiant Arrow.)
Archer	230100	Stunning Trap Arrow I	Launch a trap 15m in front of you. The trap lasts for 10 seconds or until triggered. Briefly stuns the target and surrounding enemies.
Archer	230200	Stunning Trap Arrow II	Launch a trap 15m in front of you. The trap lasts for 10 seconds or until triggered. Briefly stuns the target and surrounding enemies.
Archer	240100	Snare I	Launch an arrow at enemies up to $maxDistance away. Press the skill button again before it reaches the max distance to detonate the arrow early, briefly slowing all surrounding enemies.
Archer	240200	Snare II	Launch an arrow at enemies up to $maxDistance away. Press the skill button again before it reaches the max distance to detonate the arrow early, briefly slowing all surrounding enemies.
Archer	250100	Incendiary Trap Arrow I	Launch a trap 15m in front of you. The trap lasts for 10 seconds or until triggered. Inflicts explosion damage on the target and surrounding enemies.
Archer	250200	Incendiary Trap Arrow II	Launch a trap 15m in front of you. The trap lasts for 10 seconds or until triggered. Inflicts explosion damage on the target and surrounding enemies.
Archer	280100	Eagle's Eye I	Increase Power by 30, Attack Speed by 4 and Endurance by 4. Increases damage to monsters by 10%. Cannot be used in conjunction with Sniper's Eye.
Archer	280200	Eagle's Eye II	Increase Power by 30, Attack Speed by 8 and Endurance by 8. Increases damage to monsters by 10%. Cannot be used in conjunction with Sniper's Eye.
Archer	290100	Thunderbolt	Shoot a concussion arrow up to $maxDistance away. The shock will cause damage and knock enemies back. It cannot knock back bosses or elite monsters.
Archer	310100	Tenacity	Call on inner reserves to instantly replenish $mpDiff MP. Briefly increases resistance to stun immensely.
Archer	320100	Find Weakness I	While active, your next attack is considered to be an attack from the rear, regardless of your relative position. Effect lasts 8 seconds, or until you hit a target.
Archer	330100	Chase I	Charge forward up to 16 m.
Berserker	10100	Combo Attack I	Strike one or more targets in front of you, and gain MP with each hit. Successive strikes do more damage, up to four hits, with the fourth hit dealing substantially more.
Berserker	10200	Combo Attack II	Strike one or more targets in front of you, and gain MP with each hit. Successive strikes do more damage, up to four hits, with the fourth hit dealing substantially more.
Berserker	10300	Combo Attack III	Strike one or more targets in front of you, and gain MP with each hit. Successive strikes do more damage, up to four hits, with the fourth hit dealing substantially more.
Berserker	10400	Combo Attack IV	Strike one or more targets in front of you, and gain MP with each hit. Successive strikes do more damage, up to four hits, with the fourth hit dealing substantially more.
Berserker	10500	Combo Attack V	Strike one or more targets in front of you, and gain MP with each hit. Successive strikes do more damage, up to four hits, with the fourth hit dealing substantially more.
Berserker	10600	Combo Attack VI	Strike one or more targets in front of you, and gain MP with each hit. Successive strikes do more damage, up to four hits, with the fourth hit dealing substantially more.
Berserker	10700	Combo Attack VII	Strike one or more targets in front of you, and gain MP with each hit. Successive strikes do more damage, up to four hits, with the fourth hit dealing substantially more.
Berserker	10800	Combo Attack VIII	Strike one or more targets in front of you, and gain MP with each hit. Successive strikes do more damage, up to four hits, with the fourth hit dealing substantially more.
Berserker	10900	Combo Attack IX	Strike one or more targets in front of you, and gain MP with each hit. Successive strikes do more damage, up to four hits, with the fourth hit dealing substantially more.
Berserker	11000	Combo Attack X	Strike one or more targets in front of you, and gain MP with each hit. Successive strikes do more damage, up to four hits, with the fourth hit dealing substantially more.
Berserker	11100	Combo Attack XI	Strike one or more targets in front of you, and gain MP with each hit. Successive strikes do more damage, up to four hits, with the fourth hit dealing substantially more.
Berserker	11200	Combo Attack XII	Strike one or more targets in front of you, and gain MP with each hit. Successive strikes do more damage, up to four hits, with the fourth hit dealing substantially more.
Berserker	20100	Axe Block	Block frontal attacks with your weapon. Damage blocked depends on your weapon's stats. Remains active as long as you hold down the skill button.
Berserker	20200	Axe Block II	Block frontal attacks with your weapon. Damage blocked depends on your weapon's stats. Remains active as long as you hold down the skill button. When Intimidation is active, the amount of damage blocked increases by 60%, and allies behind you are also protected. MP cost for skill is reduced to 0.
Berserker	30100	Thunder Strike I	Charge up your axe by holding down the skill button, then release it to attack. Only charges to one level.
Berserker	30200	Thunder Strike II	Charge up your axe by holding down the skill button, then release it to attack. Only charges to two levels.
Berserker	30300	Thunder Strike III	Charge up your axe by holding down the skill button, then release it to attack. Only charges to two levels. While charging up, you can move at half speed.
Berserker	30400	Thunder Strike IV	Charge up your axe by holding down the skill button, then release it to attack. Charges to three levels. Overcharging beyond the third-level charge will damage you. While charging up, you can move at half speed.
Berserker	30500	Thunder Strike V	Charge up your axe by holding down the skill button, then release it to attack. Charges to three levels. Overcharging beyond the third-level charge will damage you. While charging up, you can move at half speed.
Berserker	30600	Thunder Strike VI	Charge up your axe by holding down the skill button, then release it to attack. Charges to three levels. Overcharging beyond the third-level charge will damage you. While charging up, you can move at half speed.
