Name	Description	id	value	bySkillCategory	group	infinity	isBuff	isHideOnRefresh	isShow	kind	level	notCareDeath	priority	property	time	isHideOnRaid	useDamageFont	isBlockOtherSpecialShader	type	method	tickInterval	appearEffectId	disappearEffectId	effectPart	effectId	effectPart	overlayEffectId	appearEffectId	disappearEffectId	damageEffectId	ShaderOnAlly	ShaderOnMy	ShaderOnOther	appearShader	disappearShader	effectTime	attackEffectId	isEnemyCheck	arcaneFxId
T.E.R.A. TIME	Feel the fever! Decreases all skill cooldowns except for alliance skills by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	25	0.2	9999	etc	TRUE	TRUE	FALSE	TRUE	3225	98	FALSE	8	4	100000				208	3	0																		
T.E.R.A. TIME	Feel the fever! Decreases all skill cooldowns except for alliance skills by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	25	0.5	9999	etc	TRUE	TRUE	FALSE	TRUE	3225	98	FALSE	8	4	100000				52	3	1																		
Ultra-Hyper-Fire-Turbo Time	Feel the fever! Decreases all skill cooldowns except for alliance skills by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	26	0.2	9999	etc	TRUE	TRUE	FALSE	TRUE	3225	99	FALSE	8	4	100000				208	3	0																		
Ultra-Hyper-Fire-Turbo Time	Feel the fever! Decreases all skill cooldowns except for alliance skills by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	26	0.5	9999	etc	TRUE	TRUE	FALSE	TRUE	3225	99	FALSE	8	4	100000				52	3	1																		
T.E.R.A. TIME	Feel the fever! Decreases all skill cooldowns except for alliance skills by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	27	0.2	9999	etc	TRUE	TRUE	FALSE	TRUE	3225	99	FALSE	8	4	100000				208	3	0																		
T.E.R.A. TIME	Feel the fever! Decreases all skill cooldowns except for alliance skills by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	27	0.5	9999	etc	TRUE	TRUE	FALSE	TRUE	3225	99	FALSE	8	4	100000				52	3	1																		
T.E.R.A. TIME	Feel the fever! Decreases all skill cooldowns except for alliance skills by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	28	0.2	9999	doping	FALSE	TRUE	FALSE	TRUE	3225	98	FALSE	8	4	7200000				208	3	0																		
T.E.R.A. TIME	Feel the fever! Decreases all skill cooldowns except for alliance skills by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	28	0.5	9999	doping	FALSE	TRUE	FALSE	TRUE	3225	98	FALSE	8	4	7200000				52	3	1																		
		29	1	9999	etc	FALSE	TRUE	FALSE	FALSE	3225	99	FALSE	8	4	1000				3	3	0																		
Blessing of Amarun	Increases maximum HP for the first venture into the dungeon.	30	1.1	0	etc	TRUE	TRUE	FALSE	TRUE	3226	1	TRUE	8	4	900000				1	3	0																		
T.E.R.A. TIME Season 2	Engage in spectacular battles! Increases Power by 20%, and significantly increases Attack Speed.	31	1.2	9999	etc	FALSE	TRUE	FALSE	TRUE	3227	1	TRUE	8	4	7200000				3	3	0																		
T.E.R.A. TIME Season 2	Engage in spectacular battles! Increases Power by 20%, and significantly increases Attack Speed.	31	1.12	9999	etc	FALSE	TRUE	FALSE	TRUE	3227	1	TRUE	8	4	7200000				24	3	0																		
		32	1	9999	etc	FALSE	TRUE	FALSE	FALSE	3227	99	FALSE	8	4	1000				3	3	0																		
Ultra-Hyper-Fire-Turbo Time	Feel the fever! Decreases all skill cooldowns by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	33	0,2	9999		TRUE	TRUE	FALSE	TRUE	3225	99	FALSE	8	4	100000				208	3	0																		
Ultra-Hyper-Fire-Turbo Time	Feel the fever! Decreases all skill cooldowns by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	33	0,5	9999		TRUE	TRUE	FALSE	TRUE	3225	99	FALSE	8	4	100000				52	3	1																		
Blessing of Amarun	Increases maximum HP for the first venture into the dungeon.	34	1,1	0		TRUE	TRUE	FALSE	TRUE	3226	1	TRUE	8	4	900000				1	3	0																		
		35	1	9999	etc	FALSE	TRUE	FALSE	FALSE	48001	99	FALSE	8	4	1000				3	3	0																		
4th Anniversary Buff(Increase Attack Power)	Engage in spectacular battles! When attacking, damage increases by 20% and attack speed greatly increases as well.	36	1.2	9999	etc	TRUE	TRUE	FALSE	TRUE	3227	1	TRUE	8	4	7200000				3	3	0																		
4th Anniversary Buff(Increase Attack Power)	Engage in spectacular battles! When attacking, damage increases by 20% and attack speed greatly increases as well.	36	1.12	9999	etc	TRUE	TRUE	FALSE	TRUE	3227	1	TRUE	8	4	7200000				24	3	0																		
4th Anniversary Buff(Decreased Cooldown)	Feel the fever! All skill cooldowns except for alliance skills decrease by 80%, and all MP regeneration increases immensely.	37	0.2	9999	etc	TRUE	TRUE	FALSE	TRUE	3230	98	FALSE	8	4	100000				208	3	0																		
4th Anniversary Buff(Decreased Cooldown)	Feel the fever! All skill cooldowns except for alliance skills decrease by 80%, and all MP regeneration increases immensely.	37	0.5	9999	etc	TRUE	TRUE	FALSE	TRUE	3230	98	FALSE	8	4	100000				52	3	1																		
		38	1	9999	etc	FALSE	TRUE	FALSE	FALSE	3230	99	FALSE	8	4	1000				3	3	0																		
The Call of War	Increases skill damage, Attack Speed and HP recovery by 2%.	39	01.02	9999	etc	TRUE	TRUE	FALSE	TRUE	3231	98	TRUE	8	4	100000				3	3	0																		
The Call of War	Increases skill damage, Attack Speed and HP recovery by 2%.	39	01.02	9999	etc	TRUE	TRUE	FALSE	TRUE	3231	98	TRUE	8	4	100000				24	3	0																		
The Call of War	Increases skill damage, Attack Speed and HP recovery by 2%.	39	01.02	9999	etc	TRUE	TRUE	FALSE	TRUE	3231	98	TRUE	8	4	100000				105	3	0																		
The Call of War	Increases skill damage, Attack Speed and HP recovery by 2%.	39	01.02	9999	etc	TRUE	TRUE	FALSE	TRUE	3231	98	TRUE	8	4	100000				164	3	0																		
Balder's Blessing	Increases your gathering proficiencies by 30 and shortens your gathering and crafting times.	40	0.6	9999	etc	TRUE	TRUE	FALSE	TRUE	3233	1	TRUE	8	4	100000				35	3	0																		
Balder's Blessing	Increases your gathering proficiencies by 30 and shortens your gathering and crafting times.	40	30	9999	etc	TRUE	TRUE	FALSE	TRUE	3233	1	TRUE	8	4	100000				31	2	0																		
Balder's Blessing	Increases your gathering proficiencies by 30 and shortens your gathering and crafting times.	40	0.6	9999	etc	TRUE	TRUE	FALSE	TRUE	3233	1	TRUE	8	4	100000				26	3	0																		
Baharr's Blessing I	Slightly increases enchantment success rate. (Does not apply to Awakened enchanting, or enchanting using a bind-on-pickup item with the same name.)	41	01.05	0	etc	FALSE	TRUE	FALSE	TRUE	3234	94	FALSE	15	4	300000				291	3	1																		
Baharr's Blessing II	Increases enchantment success rate. (Does not apply to Awakened enchanting, or enchanting using a bind-on-pickup item with the same name.)	42	1.1	0	etc	FALSE	TRUE	FALSE	TRUE	3234	95	FALSE	15	4	300000				291	3	1																		
Baharr's Blessing III	Significantly increases enchantment success rate. (Does not apply to Awakened enchanting, or enchanting using a bind-on-pickup item with the same name.)	43	1.2	0	etc	FALSE	TRUE	FALSE	TRUE	3234	96	FALSE	15	4	300000				291	3	1																		
Baharr's Blessing I	Slightly increases enchantment success rate. (Does not apply to Awakened enchanting, or enchanting using a bind-on-pickup item with the same name.)	44	01.05	0	etc	FALSE	TRUE	FALSE	TRUE	3234	97	FALSE	15	4	600000				291	3	1																		
Baharr's Blessing II	Increases enchantment success rate. (Does not apply to Awakened enchanting, or enchanting using a bind-on-pickup item with the same name.)	45	1.1	0	etc	FALSE	TRUE	FALSE	TRUE	3234	98	FALSE	15	4	600000				291	3	1																		
Baharr's Blessing III	Significantly increases enchantment success rate. (Does not apply to Awakened enchanting, or enchanting using a bind-on-pickup item with the same name.)	46	1.2	0	etc	FALSE	TRUE	FALSE	TRUE	3234	99	FALSE	15	4	600000				291	3	1																		
Test_Skill Damage Increase/Aggro Reduction	Test Only! Increases all skill damage by 50%. Decreases Aggro  by 50%	47	1.5	0	etc	FALSE	TRUE	FALSE	TRUE	48001	99	TRUE	7	4	9900000				22	3	0																		
Test_Skill Damage Increase/Aggro Reduction	Test Only! Increases all skill damage by 50%. Decreases Aggro  by 50%	47	0.5	0	etc	FALSE	TRUE	FALSE	TRUE	48001	99	TRUE	7	4	9900000				20	3	0																		
Baldera's Blessing	Increases your gathering proficiencies by 30 and shortens your gathering and crafting time.	48	0,6	9999		TRUE	TRUE	FALSE	FALSE	3233	1	TRUE	8	4	100000				35	3	0																		
Baldera's Blessing	Increases your gathering proficiencies by 30 and shortens your gathering and crafting time.	48	30	9999		TRUE	TRUE	FALSE	FALSE	3233	1	TRUE	8	4	100000				31	2	0																		
Baldera's Blessing	Increases your gathering proficiencies by 30 and shortens your gathering and crafting time.	48	0,6	9999		TRUE	TRUE	FALSE	FALSE	3233	1	TRUE	8	4	100000				26	3	0																		
Retaliate	Immune to knockdown, stagger, and stuns.	101	0	0	skill	FALSE	TRUE	FALSE	TRUE	69	1	FALSE	1	4	2100				245	16	0																		
Retaliate	Immune to knockdown, stagger, and stuns.	101	0	0	skill	FALSE	TRUE	FALSE	TRUE	69	1	FALSE	1	4	2100				287	0	0																		
Blessing of Shakan I	Increases Power by $H_W_GOOD$value$COLOR_END.	201	17	0	skill	FALSE	TRUE	FALSE	FALSE	2	3	FALSE	7	4	2400000				3	2	0	3266		FXCenter03					3269										
Blessing of Shakan II	Increases Power by $H_W_GOOD$value$COLOR_END.	202	25	0	skill	FALSE	TRUE	FALSE	FALSE	2	4	FALSE	7	4	2400000				3	2	0	3266		FXCenter03					3269										
Lightning Trap	Stunned. Cannot move.	301	5	0		FALSE	FALSE	FALSE	TRUE	22401	1	FALSE	8	3	3000				211	0	0			FXHead02	2012		1001												
Lightning Trap	Stunned. Cannot move.	302	5	0		FALSE	FALSE	FALSE	TRUE	22401	2	FALSE	8	3	5000				211	0	0			FXHead02	2012		1001												
Lightning Trap	Stunned. Cannot move.	303	5	0		FALSE	FALSE	FALSE	TRUE	22401	3	FALSE	8	3	6000				211	0	0			FXHead02	2012		1001												
Movement Speed Increases	Increases Movement Speed immensely.	501	40	0	etc	FALSE	TRUE	FALSE	TRUE	44811	99	FALSE	7	4	600000				27	2	0			FXCenter178	1082														
Titanic Wrath I	Increases Power by $H_W_GOOD20$COLOR_END. Increases Attack Speed by $H_W_GOOD6$COLOR_END.	601	20	0	skill	TRUE	TRUE	FALSE	onlyIcon	43	1	FALSE	7	4	3000	FALSE			3	2	0																		
Titanic Wrath I	Increases Power by $H_W_GOOD20$COLOR_END. Increases Attack Speed by $H_W_GOOD6$COLOR_END.	601	6	0	skill	TRUE	TRUE	FALSE	onlyIcon	43	1	FALSE	7	4	3000	FALSE			24	2	0																		
Titanic Wrath II	Increases Power by $H_W_GOOD25$COLOR_END. Increases Attack Speed by $H_W_GOOD6$COLOR_END.	602	25	0	skill	TRUE	TRUE	FALSE	onlyIcon	43	2	FALSE	7	4	3000	FALSE			3	2	0																		
Titanic Wrath II	Increases Power by $H_W_GOOD25$COLOR_END. Increases Attack Speed by $H_W_GOOD6$COLOR_END.	602	6	0	skill	TRUE	TRUE	FALSE	onlyIcon	43	2	FALSE	7	4	3000	FALSE			24	2	0																		
Titanic Wrath III	Increases Power by $H_W_GOOD40$COLOR_END. Increases Attack Speed by $H_W_GOOD6$COLOR_END.	603	40	0	skill	TRUE	TRUE	FALSE	onlyIcon	43	3	FALSE	7	4	3000	FALSE			3	2	0																		
Titanic Wrath III	Increases Power by $H_W_GOOD40$COLOR_END. Increases Attack Speed by $H_W_GOOD6$COLOR_END.	603	6	0	skill	TRUE	TRUE	FALSE	onlyIcon	43	3	FALSE	7	4	3000	FALSE			24	2	0																		
Shara's Lash	Stunned. Cannot move.	901	5	0		FALSE	FALSE	FALSE	TRUE	22401	1	FALSE	2	3	3000				211	0	0			FXHead03	2012		1001												
Noctenium Infusion	Increases PvP Attack by $H_W_GOOD$value2$COLOR_END and PvP Defense by $H_W_GOOD$value3$COLOR_END.	902	1	0	doping	TRUE	TRUE	FALSE	TRUE	49	1	TRUE	1	4	1000				203	0	0																		
Noctenium Infusion	Increases PvP Attack by $H_W_GOOD$value2$COLOR_END and PvP Defense by $H_W_GOOD$value3$COLOR_END.	902	8	0	doping	TRUE	TRUE	FALSE	TRUE	49	1	TRUE	1	4	1000				168	2	0	3266		FXCenter05					3269										
Noctenium Infusion	Increases PvP Attack by $H_W_GOOD$value2$COLOR_END and PvP Defense by $H_W_GOOD$value3$COLOR_END.	902	8	0	doping	TRUE	TRUE	FALSE	TRUE	49	1	TRUE	1	4	1000				108	2	0	3267		FXCenter06					3270										
Murderous Intent	Increases Power by $H_W_GOOD$value2$COLOR_END, Attack Speed by $H_W_GOOD$value3$COLOR_END, Crit Factor by $H_W_GOOD$value5$COLOR_END, and Movement Speed by $H_W_GOOD$value4$COLOR_END.	903	0	0	skill	FALSE	TRUE	FALSE	TRUE	71	1	FALSE	1	4	30000				190	0	0																		
Murderous Intent	Increases Power by $H_W_GOOD$value2$COLOR_END, Attack Speed by $H_W_GOOD$value3$COLOR_END, Crit Factor by $H_W_GOOD$value5$COLOR_END, and Movement Speed by $H_W_GOOD$value4$COLOR_END.	903	15	0	skill	FALSE	TRUE	FALSE	TRUE	71	1	FALSE	1	4	30000				3	2	0																		
Murderous Intent	Increases Power by $H_W_GOOD$value2$COLOR_END, Attack Speed by $H_W_GOOD$value3$COLOR_END, Crit Factor by $H_W_GOOD$value5$COLOR_END, and Movement Speed by $H_W_GOOD$value4$COLOR_END.	903	01.08	0	skill	FALSE	TRUE	FALSE	TRUE	71	1	FALSE	1	4	30000				24	3	0																		
Murderous Intent	Increases Power by $H_W_GOOD$value2$COLOR_END, Attack Speed by $H_W_GOOD$value3$COLOR_END, Crit Factor by $H_W_GOOD$value5$COLOR_END, and Movement Speed by $H_W_GOOD$value4$COLOR_END.	903	01.04	0	skill	FALSE	TRUE	FALSE	TRUE	71	1	FALSE	1	4	30000				5	3	0																		
Murderous Intent	Increases Power by $H_W_GOOD$value2$COLOR_END, Attack Speed by $H_W_GOOD$value3$COLOR_END, Crit Factor by $H_W_GOOD$value5$COLOR_END, and Movement Speed by $H_W_GOOD$value4$COLOR_END.	903	01.04	0	skill	FALSE	TRUE	FALSE	TRUE	71	1	FALSE	1	4	30000				6	3	0																		
Energy Stars Amplification	Increases skill damage by $H_W_GOOD10$COLOR_END for first hit. Cannot be applied to caster.	904	1.1	0	skill	FALSE	TRUE	FALSE	TRUE	48004	1	FALSE	1	4	15000				162	0	0																		
Regeneration Circle—MP Restoration	Replenishes MP by $H_W_GOOD$value$COLOR_END every $H_W_GOOD$tickInterval$COLOR_END.	905	100	0	skill	FALSE	TRUE	FALSE	TRUE	48005	1	FALSE	1	4	10000				52	2	2																		
Restorative Burst—MP Restoraion	Recovers HP by $H_W_GOOD$value$COLOR_END every $H_W_GOOD$tickInterval$COLOR_END.	906	50	0	skill	FALSE	TRUE	FALSE	TRUE	48006	1	FALSE	1	4	5000				52	2	1																		
Titanic Wrath—Acceleration	Speeds casting by $H_W_GOOD$value$COLOR_END for first skill.	907	1.2	0	skill	FALSE	TRUE	FALSE	TRUE	48007	1	FALSE	1	4	15000				24	3	0																		
Titanic Favor—Protection	Absorbs up to $H_W_GOOD$value$COLOR_END damage.$BRImmune to knockdown and stagger.	908	4000	0	skill	FALSE	TRUE	FALSE	TRUE	48008	1	FALSE	1	4	5000				227	0	0			FXCenter104	4166					4167									
Noctenium Infusion Test	Noctenium Infusion Test	910	2	0	doping	TRUE	TRUE	FALSE	TRUE	49	1	TRUE	1	4	1000				203	0	0																		
Noctenium Infusion	Increases PvP Attack by $H_W_GOOD$value2$COLOR_END and PvP Defense by $H_W_GOOD$value3$COLOR_END.	911	3	0	doping	TRUE	TRUE	FALSE	TRUE	49	1	TRUE	1	4	1000				203	0	0																		
Noctenium Infusion	Increases PvP Attack by $H_W_GOOD$value2$COLOR_END and PvP Defense by $H_W_GOOD$value3$COLOR_END.	911	8	0	doping	TRUE	TRUE	FALSE	TRUE	49	1	TRUE	1	4	1000				168	2	0	3266		FXCenter05					3269										
Noctenium Infusion	Increases PvP Attack by $H_W_GOOD$value2$COLOR_END and PvP Defense by $H_W_GOOD$value3$COLOR_END.	911	8	0	doping	TRUE	TRUE	FALSE	TRUE	49	1	TRUE	1	4	1000				108	2	0	3267		FXCenter06					3270										
Noctenium Infusion	Increases PvP Attack by $H_W_GOOD$value2$COLOR_END and PvP Defense by $H_W_GOOD$value3$COLOR_END.	912	4	0	doping	TRUE	TRUE	FALSE	TRUE	49	1	TRUE	1	4	1000				203	0	0																		
Noctenium Infusion	Increases PvP Attack by $H_W_GOOD$value2$COLOR_END and PvP Defense by $H_W_GOOD$value3$COLOR_END.	912	8	0	doping	TRUE	TRUE	FALSE	TRUE	49	1	TRUE	1	4	1000				168	2	0	3266		FXCenter05					3269										
Noctenium Infusion	Increases PvP Attack by $H_W_GOOD$value2$COLOR_END and PvP Defense by $H_W_GOOD$value3$COLOR_END.	912	8	0	doping	TRUE	TRUE	FALSE	TRUE	49	1	TRUE	1	4	1000				108	2	0	3267		FXCenter06					3270										
Noctenium Infusion	Increases PvP Attack by $H_W_GOOD$value2$COLOR_END and PvP Defense by $H_W_GOOD$value3$COLOR_END.	913	5	0	doping	TRUE	TRUE	FALSE	TRUE	49	1	TRUE	1	4	1000				203	0	0																		
Noctenium Infusion	Increases PvP Attack by $H_W_GOOD$value2$COLOR_END and PvP Defense by $H_W_GOOD$value3$COLOR_END.	913	8	0	doping	TRUE	TRUE	FALSE	TRUE	49	1	TRUE	1	4	1000				168	2	0	3266		FXCenter05					3269										
Noctenium Infusion	Increases PvP Attack by $H_W_GOOD$value2$COLOR_END and PvP Defense by $H_W_GOOD$value3$COLOR_END.	913	8	0	doping	TRUE	TRUE	FALSE	TRUE	49	1	TRUE	1	4	1000				108	2	0	3267		FXCenter06					3270										
Noctenium Infusion	Increases PvP Attack by $H_W_GOOD$value2$COLOR_END and PvP Defense by $H_W_GOOD$value3$COLOR_END.	916	6	0	doping	TRUE	TRUE	FALSE	TRUE	49	1	TRUE	1	4	1000				203	0	0																		
Noctenium Infusion	Increases PvP Attack by $H_W_GOOD$value2$COLOR_END and PvP Defense by $H_W_GOOD$value3$COLOR_END.	916	8	0	doping	TRUE	TRUE	FALSE	TRUE	49	1	TRUE	1	4	1000				168	2	0	3266		FXCenter05					3269										
Noctenium Infusion	Increases PvP Attack by $H_W_GOOD$value2$COLOR_END and PvP Defense by $H_W_GOOD$value3$COLOR_END.	916	8	0	doping	TRUE	TRUE	FALSE	TRUE	49	1	TRUE	1	4	1000				108	2	0	3267		FXCenter06					3270										
Potion of Cultural Opportunity	Grants hunting XP bonus of $H_W_GOOD$value$COLOR_END.	1100	01.05	0	etc	FALSE	TRUE	FALSE	TRUE	9601	1	TRUE	7	4	1800000				23	3	0																		
Adoration I	Increases hunting XP by $H_W_GOOD$value$COLOR_END.$BREffect persists through death.	1101	1.2	0	etc	FALSE	TRUE	FALSE	TRUE	9601	95	TRUE	7	4	3600000				23	3	0																		
Festival Furor I	Increases hunting XP by $H_W_GOOD$value$COLOR_END.$BREffect persists through death.	1102	1.1	0	etc	FALSE	TRUE	FALSE	TRUE	9601	94	TRUE	7	4	1800000				23	3	0																		
Adoration II	Increases hunting XP by $H_W_GOOD$value$COLOR_END.$BREffect persists through death.	1103	2	0	etc	FALSE	TRUE	FALSE	TRUE	9601	98	TRUE	7	4	10800000				23	3	0																		
Festival Furor II	Increases hunting XP by $H_W_GOOD$value$COLOR_END.$BREffect persists through death.	1104	1.5	0	etc	TRUE	TRUE	FALSE	onlyIcon	9601	97	TRUE	7	4	1000				23	3	0																		
Powerful Potion of Cultural Opportunity	Increases hunting XP by $H_W_GOOD$value$COLOR_END.$BREffect persists through death.	1105	1.1	0	etc	FALSE	TRUE	FALSE	TRUE	9601	2	TRUE	7	4	10800000				23	3	0																		
Adoration II	Increases hunting XP by $H_W_GOOD$value$COLOR_END.$BREffect persists through death.	1106	2	0	etc	TRUE	TRUE	FALSE	TRUE	9601	98	TRUE	7	4	1000				23	3	0																		
Adoration III	Increases hunting XP by $H_W_GOOD$value$COLOR_END.$BREffect persists through death.	1107	3	0	etc	TRUE	TRUE	FALSE	TRUE	9601	98	TRUE	7	4	1000				23	3	0																		
Traveler's Balm	Seren's blessing on travelers. Increases hunting XP by $H_W_GOOD$value$COLOR_END.$BREffect persists through death.	1110	1.2	0	etc	TRUE	TRUE	FALSE	onlyIcon	9601	95	TRUE	7	4	1000				23	3	0																		
Seren's Torchbearer	The Goddess of the Night blesses your journey. Applies Torchlight on yourself and party members within 40m.$BREffect persists through death.	1120	1125	0	etc	TRUE	TRUE	FALSE	onlyIcon	9602	96	TRUE	7	4	1000				226	1	5																		
Torchlight	Torchbearer nearby. Increases hunting XP by $H_W_GOOD$value$COLOR_END.$BREffect persists through death.	1125	1.3	0	etc	TRUE	TRUE	FALSE	TRUE	9601	96	TRUE	7	4	1000				23	3	0																		
Heart Candy Cane	Replenishes $H_W_GOOD4%$COLOR_END of maximum MP every $H_W_GOOD$tickInterval$COLOR_END.	1130	0.04	0	doping	FALSE	TRUE	FALSE	TRUE	9641	99	FALSE	7	4	25000				52	3	1			FXBottom63	1175														
Heart Chocolate	Replenishes $H_W_GOOD50%$COLOR_END of maximum MP.	1131	0.5	0	doping	FALSE	TRUE	FALSE	TRUE	9642	99	FALSE	7	4	1000				52	3	1			FXBottom63	1175														
Love Letter	Stamina does not decrease.	1132	0	0	doping	FALSE	TRUE	FALSE	FALSE	9643	99	FALSE	7	4	1000				207	1	0																		
Shining Candy	Replenishes $H_W_GOOD4%$COLOR_END of maximum MP every $H_W_GOOD$tickInterval$COLOR_END.	1133	0,04	0	doping	FALSE	TRUE	FALSE	TRUE	9641	99	FALSE	7	4	25000				52	3	1				1175	FXBottom63													
Goddess's Blessing	Invincible for a short period. Ends upon using any skills.	1134	0	0	etc	FALSE	TRUE	FALSE	TRUE	9650	99	FALSE	7	4	12000				245	27	0																		
Goddess's Blessing	Invincible for a short period. Ends upon using any skills.	1134	0	0	etc	FALSE	TRUE	FALSE	TRUE	9650	99	FALSE	7	4	12000				287	0	0																		
Federation's Call	Valkyon federation rewards for recruits! Doubles all Gold rewards, except for repeatable quests.	1135	1	0	etc	TRUE	TRUE	FALSE	TRUE	9653	99	FALSE	7	4	1000				4	3	0																		
