id	step	passivityCategoryId	kind	rate	enchantStep	id2	passivityLink	unchangeable
12020	1	3820						
12020	3	3820						
12020	5	3820						
12020	7	3820						
12020	9	3820						
12020	10	60						
12020	11	60						
12020	12	60						
12020			defence	1,045				
12020			balance	1,07				
13020	3	3100						
13020	6	3100						
13020	9	3150						
13020	10	60						
13020	11	60						
13020	12	60						
13020			defence	1,045				
13020			balance	1,07				
13021	3	3100						
13021	6	3100						
13021	9	3151						
13021	10	60						
13021	11	60						
13021	12	60						
13021			defence	1,045				
13021			balance	1,07				
13022	3	3100						
13022	6	3100						
13022	9	3152						
13022	10	60						
13022	11	60						
13022	12	60						
13022			defence	1,045				
13022			balance	1,07				
14020	3	3200						
14020	6	3200						
14020	9	3250						
14020	10	60						
14020	11	60						
14020	12	60						
14020			defence	1,045				
14020			balance	1,07				
1300	3	10						
1300	5	10						
1300	7	10						
1300	9	10						
1300			attack	1,03				
1300			impact	1,07				
1301	3	11						
1301	5	11						
1301	7	11						
1301	9	11						
1301			attack	1,03				
1301			impact	1,07				
1302	3	12						
1302	5	12						
1302	7	12						
1302	9	12						
1302			attack	1,03				
1302			impact	1,07				
2300	3	20						
2300	5	20						
2300	7	20						
2300	9	20						
2300			defence	1,045				
2300			balance	1,07				
3300	3	100						
3300	6	100						
3300	9	150						
3300			defence	1,045				
3300			balance	1,07				
3301	3	100						
3301	6	100						
3301	9	151						
3301			defence	1,045				
3301			balance	1,07				
3302	3	100						
3302	6	100						
3302	9	152						
3302			defence	1,045				
3302			balance	1,07				
4300	3	200						
4300	6	200						
4300	9	250						
4300			defence	1,045				
4300			balance	1,07				
11300	3	310						
11300	5	310						
11300	7	310						
11300	9	310						
11300	10	50						
11300	11	50						
11300	12	50						
11300			attack	1,03				
11300			impact	1,07				
11301	3	311						
11301	5	311						
11301	7	311						
11301	9	311						
11301	10	50						
11301	11	50						
11301	12	50						
11301			attack	1,03				
11301			impact	1,07				
11302	3	312						
11302	5	312						
11302	7	312						
11302	9	312						
11302	10	50						
11302	11	50						
11302	12	50						
11302			attack	1,03				
11302			impact	1,07				
12300	3	320						
12300	5	320						
12300	7	320						
12300	9	320						
12300	10	60						
12300	11	60						
12300	12	60						
12300			defence	1,045				
12300			balance	1,07				
13300	3	3100						
13300	6	3100						
13300	9	3150						
13300	10	60						
13300	11	60						
13300	12	60						
13300			defence	1,045				
13300			balance	1,07				
13301	3	3100						
13301	6	3100						
13301	9	3151						
13301	10	60						
13301	11	60						
13301	12	60						
13301			defence	1,045				
13301			balance	1,07				
13302	3	3100						
13302	6	3100						
13302	9	3152						
13302	10	60						
13302	11	60						
13302	12	60						
13302			defence	1,045				
13302			balance	1,07				
14300	3	3200						
14300	6	3200						
14300	9	3250						
14300	10	60						
14300	11	60						
14300	12	60						
14300			defence	1,045				
14300			balance	1,07				
1500	3	2000						
1500	5	2000						
1500	7	2000						
1500	9	2000						
1500			attack	1,03				
1500			impact	1,07				
1501	1	2000						
1501	3	2000						
1501	5	2000						
1501	7	2000						
1501	9	2000						
1501			attack	1,03				
1501			impact	1,07				
1502	1	2001						
1502	3	2001						
1502	5	2001						
1502	7	2001						
1502	9	2001						
1502			attack	1,03				
1502			impact	1,07				
1504	1	2002						
1504	3	2002						
1504	5	2002						
1504	7	2002						
1504	9	2002						
1504			attack	1,03				
1504			impact	1,07				
1505	1	2003						
1505	3	2003						
1505	5	2003						
1505	7	2003						
1505	9	2003						
1505			attack	1,03				
1505			impact	1,07				
2500	3	2100						
2500	5	2100						
2500	7	2100						
2500	9	2100						
2500			defence	1,045				
2500			balance	1,07				
2501	1	2100						
2501	3	2100						
2501	5	2100						
2501	7	2100						
2501	9	2100						
2501			defence	1,045				
2501			balance	1,07				
2502	1	2101						
2502	3	2101						
2502	5	2101						
2502	7	2101						
2502	9	2101						
2502			defence	1,045				
2502			balance	1,07				
3500	3	2200						
3500	6	2210						
3500			defence	1,045				
3500			balance	1,07				
4500	3	2300						
4500	6	2310						
4500			defence	1,045				
4500			balance	1,07				
11500	3	32000						
11500	5	32000						
11500	7	32000						
11500	9	32000						
11500	10	50						
11500	11	50						
11500	12	50						
11500			attack	1,03				
11500			impact	1,07				
11501	1	32000						
11501	3	32000						
11501	5	32000						
11501	7	32000						
11501	9	32000						
11501	10	50						
11501	11	50						
11501	12	50						
11501			attack	1,03				
11501			impact	1,07				
11502	1	32001						
11502	3	32001						
11502	5	32001						
11502	7	32001						
11502	9	32001						
11502	10	32002						
11502	11	32002						
11502	12	32002						
11502			attack	1,03				
11502			impact	1,07				
11503	1	32001						
11503	3	32001						
11503	5	32001						
11503	7	32001						
11503	9	32001						
11503	10	32003						
11503	11	32003						
11503	12	32003						
11503			attack	1,03				
11503			impact	1,07				
11504	1	32004						
11504	3	32004						
11504	5	32004						
11504	7	32004						
11504	9	32004						
11504	10	32002						
11504	11	32002						
11504	12	32002						
11504			attack	1,03				
11504			impact	1,07				
11505	1	32004						
11505	3	32004						
11505	5	32004						
11505	7	32004						
11505	9	32004						
11505	10	32002						
11505	11	32002						
11505	12	32002						
11505			attack	1,03				
11505			impact	1,07				
11506	1	32004						
11506	3	32004						
11506	5	32004						
11506	7	32004						
11506	9	32004						
11506	10	32003						
11506	11	32003						
11506	12	32003						
11506			attack	1,03				
11506			impact	1,07				
11507	1	32005						
11507	3	32005						
11507	5	32005						
11507	7	32005						
11507	9	32005						
11507	10	32003						
11507	11	32003						
11507	12	32003						
11507			attack	1,03				
11507			impact	1,07				
12500	3	32100						
12500	5	32100						
12500	7	32100						
12500	9	32100						
12500	10	60						
12500	11	60						
12500	12	60						
12500			defence	1,045				
12500			balance	1,07				
12501	1	32100						
12501	3	32100						
12501	5	32100						
12501	7	32100						
12501	9	32100						
12501	10	60						
12501	11	60						
12501	12	60						
12501			defence	1,045				
12501			balance	1,07				
12502	1	32101						
12502	3	32101						
12502	5	32101						
12502	7	32101						
12502	9	32101						
12502	10	32102						
12502	11	32102						
12502	12	32102						
12502			defence	1,045				
12502			balance	1,07				
13500	3	32200						
13500	6	32210						
13500	10	60						
13500	11	60						
13500	12	60						
13500			defence	1,045				
13500			balance	1,07				
14500	3	32300						
14500	6	32310						
14500	10	60						
14500	11	60						
14500	12	60						
14500			defence	1,045				
14500			balance	1,07				
51000	3	10						
51000	6	10						
51000	9	10						
51000			attack	1,03				
51000			impact	1,07				
51001	3	11						
51001	6	11						
51001	9	11						
51001			attack	1,03				
51001			impact	1,07				
51002	3	12						
51002	6	12						
51002	9	12						
51002			attack	1,03				
51002			impact	1,07				
51003	3	11						
51003	4	13						
51003	6	11						
51003	8	14						
51003	9	11						
51003			attack	1,03				
51003			impact	1,07				
51004	3	12						
51004	4	15						
51004	6	12						
51004	8	16						
51004	9	12						
51004			attack	1,03				
51004			impact	1,07				
52000	3	20						
52000	6	20						
52000	9	20						
52000			defence	1,045				
52000			balance	1,07				
53000	3	100						
53000	6	100						
53000	9	150						
53000			defence	1,045				
53000			balance	1,07				
53001	3	100						
53001	6	100						
53001	9	151						
53001			defence	1,045				
53001			balance	1,07				
53002	3	100						
53002	6	100						
53002	9	152						
53002			defence	1,045				
53002			balance	1,07				
54000	3	200						
54000	6	200						
54000	9	250						
54000			defence	1,045				
54000			balance	1,07				
151000	3	310						
151000	6	310						
151000	9	310						
151000	10	50						
151000	11	50						
151000	12	50						
151000			attack	1,03				
151000			impact	1,07				
151001	3	311						
151001	6	311						
151001	9	311						
151001	10	50						
151001	11	50						
151001	12	50						
151001			attack	1,03				
151001			impact	1,07				
151002	3	312						
151002	6	312						
151002	9	312						
151002	10	50						
151002	11	50						
151002	12	50						
151002			attack	1,03				
151002			impact	1,07				
151003	3	311						
151003	4	313						
151003	6	311						
151003	8	314						
151003	9	311						
151003	10	317						
151003	11	317						
151003	12	317						
151003			attack	1,03				
151003			impact	1,07				
151004	3	312						
151004	4	315						
151004	6	312						
151004	8	316						
151004	9	312						
151004	10	318						
151004	11	318						
151004	12	318						
151004			attack	1,03				
151004			impact	1,07				
152000	3	320						
152000	6	320						
152000	9	320						
152000	10	60						
152000	11	60						
152000	12	60						
152000			defence	1,045				
152000			balance	1,07				
153000	3	3100						
153000	6	3100						
153000	9	3150						
153000	10	60						
153000	11	60						
153000	12	60						
153000			defence	1,045				
153000			balance	1,07				
153001	3	3100						
153001	6	3100						
153001	9	3151						
153001	10	60						
153001	11	60						
153001	12	60						
153001			defence	1,045				
153001			balance	1,07				
153002	3	3100						
153002	6	3100						
153002	9	3152						
153002	10	60						
153002	11	60						
153002	12	60						
153002			defence	1,045				
153002			balance	1,07				
153003	3	3100						
153003	6	3100						
153003	9	3150						
153003	10	32240						
153003	11	32240						
153003	12	32240						
153003			defence	1,045				
153003			balance	1,07				
153004	3	3100						
153004	6	3100						
153004	9	3151						
153004	10	32250						
153004	11	32250						
153004	12	32250						
153004			defence	1,045				
153004			balance	1,07				
153005	3	3100						
153005	6	3100						
153005	9	3152						
153005	10	32240						
153005	11	32240						
153005	12	32240						
153005			defence	1,045				
153005			balance	1,07				
153006	3	3100						
153006	6	3100						
153006	9	3150						
153006	10	32240						
153006	11	32240						
153006	12	32240						
153006			defence	1,045				
153006			balance	1,07				
153007	3	3100						
153007	6	3100						
153007	9	3151						
153007	10	32250						
153007	11	32250						
153007	12	32250						
153007			defence	1,045				
153007			balance	1,07				
153008	3	3100						
153008	6	3100						
153008	9	3152						
153008	10	32240						
153008	11	32240						
153008	12	32240						
153008			defence	1,045				
153008			balance	1,07				
154000	3	3200						
154000	6	3200						
154000	9	3250						
154000	10	60						
154000	11	60						
154000	12	60						
154000			defence	1,045				
154000			balance	1,07				
51010	1	910						
51010	3	910						
51010	5	910						
51010	7	910						
51010	9	910						
51010			attack	1,03				
51010			impact	1,07				
51011	1	911						
51011	3	911						
51011	5	911						
51011	7	911						
51011	9	911						
51011			attack	1,03				
51011			impact	1,07				
51012	1	912						
51012	3	912						
51012	5	912						
51012	7	912						
51012	9	912						
51012			attack	1,03				
51012			impact	1,07				
52010	1	920						
52010	3	920						
52010	5	920						
52010	7	920						
52010	9	920						
52010			defence	1,045				
52010			balance	1,07				
53010	3	100						
53010	6	100						
53010	9	150						
53010			defence	1,045				
53010			balance	1,07				
53011	3	100						
53011	6	100						
53011	9	151						
53011			defence	1,045				
53011			balance	1,07				
53012	3	100						
53012	6	100						
53012	9	152						
53012			defence	1,045				
53012			balance	1,07				
54010	3	200						
54010	6	200						
54010	9	250						
54010			defence	1,045				
54010			balance	1,07				
151010	1	3910						
151010	3	3910						
151010	5	3910						
151010	7	3910						
151010	9	3910						
151010	10	50						
151010	11	50						
151010	12	50						
151010			attack	1,03				
151010			impact	1,07				
151011	1	3911						
151011	3	3911						
151011	5	3911						
151011	7	3911						
151011	9	3911						
151011	10	50						
151011	11	50						
151011	12	50						
151011			attack	1,03				
151011			impact	1,07				
151012	1	3912						
151012	3	3912						
151012	5	3912						
151012	7	3912						
151012	9	3912						
151012	10	50						
151012	11	50						
151012	12	50						
151012			attack	1,03				
151012			impact	1,07				
152010	1	3920						
152010	3	3920						
152010	5	3920						
152010	7	3920						
152010	9	3920						
152010	10	60						
152010	11	60						
152010	12	60						
152010			defence	1,045				
152010			balance	1,07				
153010	3	3100						
153010	6	3100						
153010	9	3150						
153010	10	60						
153010	11	60						
153010	12	60						
153010			defence	1,045				
153010			balance	1,07				
153011	3	3100						
153011	6	3100						
153011	9	3151						
153011	10	60						
153011	11	60						
153011	12	60						
153011			defence	1,045				
153011			balance	1,07				
153012	3	3100						
153012	6	3100						
153012	9	3152						
153012	10	60						
153012	11	60						
153012	12	60						
153012			defence	1,045				
153012			balance	1,07				
154010	3	3200						
154010	6	3200						
154010	9	3250						
154010	10	60						
154010	11	60						
154010	12	60						
154010			defence	1,045				
154010			balance	1,07				
51020	1	810						
51020	3	810						
51020	5	810						
51020	7	810						
51020	9	810						
51020			attack	1,03				
51020			impact	1,07				
51021	1	811						
51021	3	811						
51021	5	811						
51021	7	811						
51021	9	811						
51021			attack	1,03				
51021			impact	1,07				
51022	1	812						
51022	3	812						
51022	5	812						
51022	7	812						
51022	9	812						
51022			attack	1,03				
51022			impact	1,07				
52020	1	820						
52020	3	820						
52020	5	820						
52020	7	820						
52020	9	820						
52020			defence	1,045				
52020			balance	1,07				
53020	3	100						
53020	6	100						
53020	9	150						
53020			defence	1,045				
53020			balance	1,07				
53021	3	100						
53021	6	100						
53021	9	151						
53021			defence	1,045				
53021			balance	1,07				
53022	3	100						
53022	6	100						
53022	9	152						
53022			defence	1,045				
53022			balance	1,07				
54020	3	200						
54020	6	200						
54020	9	250						
54020			defence	1,045				
54020			balance	1,07				
151020	1	3810						
151020	3	3810						
151020	5	3810						
151020	7	3810						
151020	9	3810						
151020	10	50						
151020	11	50						
151020	12	50						
151020			attack	1,03				
151020			impact	1,07				
151021	1	3811						
151021	3	3811						
151021	5	3811						
151021	7	3811						
151021	9	3811						
151021	10	50						
151021	11	50						
151021	12	50						
151021			attack	1,03				
151021			impact	1,07				
151022	1	3812						
151022	3	3812						
151022	5	3812						
151022	7	3812						
151022	9	3812						
151022	10	50						
151022	11	50						
151022	12	50						
151022			attack	1,03				
151022			impact	1,07				
152020	1	3820						
152020	3	3820						
152020	5	3820						
152020	7	3820						
152020	9	3820						
152020	10	60						
152020	11	60						
152020	12	60						
152020			defence	1,045				
152020			balance	1,07				
153020	3	3100						
153020	6	3100						
153020	9	3150						
153020	10	60						
153020	11	60						
153020	12	60						
153020			defence	1,045				
153020			balance	1,07				
153021	3	3100						
153021	6	3100						
153021	9	3151						
153021	10	60						
153021	11	60						
153021	12	60						
153021			defence	1,045				
153021			balance	1,07				
153022	3	3100						
153022	6	3100						
153022	9	3152						
153022	10	60						
153022	11	60						
153022	12	60						
153022			defence	1,045				
153022			balance	1,07				
154020	3	3200						
154020	6	3200						
154020	9	3250						
154020	10	60						
154020	11	60						
154020	12	60						
154020			defence	1,045				
154020			balance	1,07				
51300	3	10						
51300	5	10						
51300	7	10						
51300	9	10						
51300			attack	1,03				
51300			impact	1,07				
51301	3	11						
51301	5	11						
51301	7	11						
51301	9	11						
51301			attack	1,03				
51301			impact	1,07				
51302	3	12						
51302	5	12						
51302	7	12						
51302	9	12						
51302			attack	1,03				
51302			impact	1,07				
51303	3	11						
51303	4	13						
51303	5	11						
51303	7	11						
51303	8	14						
51303	9	11						
51303			attack	1,03				
51303			impact	1,07				
51304	3	12						
51304	4	15						
51304	5	12						
51304	7	12						
51304	8	16						
51304	9	12						
51304			attack	1,03				
51304			impact	1,07				
51305	3	30						
51305	5	30						
51305	7	30						
51305	9	30						
51305			attack	1,03				
51305			impact	1,07				
51306	3	31						
51306	4	13						
51306	5	31						
51306	7	31						
51306	8	14						
51306	9	31						
51306			attack	1,03				
51306			impact	1,07				
51307	3	32						
51307	4	15						
51307	5	32						
51307	7	32						
51307	8	16						
51307	9	32						
51307			attack	1,03				
51307			impact	1,07				
52300	3	20						
52300	5	20						
52300	7	20						
52300	9	20						
52300			defence	1,045				
52300			balance	1,07				
53300	3	100						
53300	6	100						
53300	9	150						
53300			defence	1,045				
53300			balance	1,07				
53301	3	100						
53301	6	100						
53301	9	151						
53301			defence	1,045				
53301			balance	1,07				
53302	3	100						
53302	6	100						
53302	9	152						
53302			defence	1,045				
53302			balance	1,07				
53303	3	100						
53303	6	100						
53303	9	150						
53303			defence	1,045				
53303			balance	1,07				
53304	3	100						
53304	6	100						
53304	9	151						
53304			defence	1,045				
53304			balance	1,07				
53305	3	100						
53305	6	100						
53305	9	152						
53305			defence	1,045				
53305			balance	1,07				
52303	3	23						
52303	5	23						
52303	7	23						
52303	9	23						
52303			defence	1,045				
52303			balance	1,07				
54300	3	200						
54300	6	200						
54300	9	250						
54300			defence	1,045				
54300			balance	1,07				
54305	3	202						
54305	6	203						
54305	9	250						
54305			defence	1,045				
54305			balance	1,07				
151300	3	310						
151300	5	310						
151300	7	310						
151300	9	310						
151300	10	50						
151300	11	50						
151300	12	50						
151300			attack	1,03				
151300			impact	1,07				
151301	3	311						
151301	5	311						
151301	7	311						
151301	9	311						
151301	10	50						
151301	11	50						
151301	12	50						
151301			attack	1,03				
151301			impact	1,07				
151302	3	312						
151302	5	312						
151302	7	312						
151302	9	312						
151302	10	50						
151302	11	50						
151302	12	50						
151302			attack	1,03				
151302			impact	1,07				
151303	3	311						
151303	4	313						
151303	5	311						
151303	7	311						
151303	8	314						
151303	9	311						
151303	10	317						
151303	11	317						
151303	12	317						
151303			attack	1,03				
151303			impact	1,07				
151304	3	312						
151304	4	315						
151304	5	312						
151304	7	312						
151304	8	316						
151304	9	312						
151304	10	318						
151304	11	318						
151304	12	318						
151304			attack	1,03				
151304			impact	1,07				
151305	3	319						
151305	5	319						
151305	7	319						
151305	9	319						
151305	10	50						
151305	11	50						
151305	12	50						
151305			attack	1,03				
151305			impact	1,07				
151306	3	308						
151306	4	313						
151306	5	308						
151306	7	308						
151306	8	314						
151306	9	308						
151306	10	317						
151306	11	317						
151306	12	317						
151306			attack	1,03				
151306			impact	1,07				
151307	3	309						
151307	4	315						
151307	5	309						
151307	7	309						
151307	8	316						
151307	9	312						
151307	10	318						
151307	11	318						
151307	12	318						
151307			attack	1,03				
151307			impact	1,07				
152300	3	320						
152300	5	320						
152300	7	320						
152300	9	320						
152300	10	60						
152300	11	60						
152300	12	60						
152300			defence	1,045				
152300			balance	1,07				
152303	3	321						
152303	5	321						
152303	7	321						
152303	9	321						
152303	10	60						
152303	11	60						
152303	12	60						
152303			defence	1,045				
152303			balance	1,07				
153300	3	3100						
153300	6	3100						
153300	9	3150						
153300	10	60						
153300	11	60						
153300	12	60						
153300			defence	1,045				
153300			balance	1,07				
153301	3	3100						
153301	6	3100						
153301	9	3151						
153301	10	60						
153301	11	60						
153301	12	60						
153301			defence	1,045				
153301			balance	1,07				
153302	3	3100						
153302	6	3100						
153302	9	3152						
153302	10	60						
153302	11	60						
153302	12	60						
153302			defence	1,045				
153302			balance	1,07				
153303	3	3100						
153303	6	3100						
153303	9	3150						
153303	10	32240						
153303	11	32240						
153303	12	32240						
153303			defence	1,045				
153303			balance	1,07				
153304	3	3100						
153304	6	3100						
153304	9	3151						
153304	10	32250						
153304	11	32250						
153304	12	32250						
153304			defence	1,045				
153304			balance	1,07				
153305	3	3100						
153305	6	3100						
153305	9	3152						
153305	10	32240						
153305	11	32240						
153305	12	32240						
153305			defence	1,045				
153305			balance	1,07				
154300	3	3200						
154300	6	3200						
154300	9	3250						
154300	10	60						
154300	11	60						
154300	12	60						
154300			defence	1,045				
154300			balance	1,07				
154305	3	3202						
154305	6	3203						
154305	9	3250						
154305	10	60						
154305	11	60						
154305	12	60						
154305			defence	1,045				
154305			balance	1,07				
51500	3	2000						
51500	5	2000						
51500	7	2000						
51500	9	2000						
51500			attack	1,03				
51500			impact	1,07				
51501	1	2000						
51501	3	2000						
51501	5	2000						
51501	7	2000						
51501	9	2000						
51501			attack	1,03				
51501			impact	1,07				
52500	3	2100						
52500	5	2100						
52500	7	2100						
52500	9	2100						
52500			defence	1,045				
52500			balance	1,07				
52501	1	2100						
52501	3	2100						
52501	5	2100						
52501	7	2100						
52501	9	2100						
52501			defence	1,045				
52501			balance	1,07				
53500	3	2200						
53500	6	2210						
53500			defence	1,045				
53500			balance	1,07				
54500	3	2300						
54500	6	2310						
54500			defence	1,045				
54500			balance	1,07				
151500	3	32000						
151500	5	32000						
151500	7	32000						
151500	9	32000						
151500	10	50						
151500	11	50						
151500	12	50						
151500			attack	1,03				
151500			impact	1,07				
151501	1	32000						
151501	3	32000						
151501	5	32000						
151501	7	32000						
151501	9	32000						
151501	10	50						
151501	11	50						
151501	12	50						
151501			attack	1,03				
151501			impact	1,07				
152500	3	32100						
152500	5	32100						
152500	7	32100						
152500	9	32100						
152500	10	60						
152500	11	60						
152500	12	60						
152500			defence	1,045				
152500			balance	1,07				
152501	1	32100						
152501	3	32100						
152501	5	32100						
152501	7	32100						
152501	9	32100						
152501	10	60						
152501	11	60						
152501	12	60						
152501			defence	1,045				
152501			balance	1,07				
153500	3	32200						
153500	6	32210						
153500	10	60						
153500	11	60						
153500	12	60						
153500			defence	1,045				
153500			balance	1,07				
154500	3	32300						
154500	6	32310						
154500	10	60						
154500	11	60						
154500	12	60						
154500			defence	1,045				
154500			balance	1,07				
61000	3	10						
61000	6	10						
61000	9	10						
61000			attack	1,03				
61000			impact	1,07				
61001	3	11						
61001	6	11						
61001	9	11						
61001			attack	1,03				
61001			impact	1,07				
61002	3	12						
61002	6	12						
61002	9	12						
61002			attack	1,03				
61002			impact	1,07				
62000	3	20						
62000	6	20						
62000	9	20						
62000			defence	1,045				
62000			balance	1,07				
63000	3	100						
63000	6	100						
63000	9	150						
63000			defence	1,045				
63000			balance	1,07				
63001	3	100						
63001	6	100						
63001	9	151						
63001			defence	1,045				
63001			balance	1,07				
63002	3	100						
63002	6	100						
63002	9	152						
63002			defence	1,045				
63002			balance	1,07				
64000	3	200						
64000	6	200						
64000	9	250						
64000			defence	1,045				
64000			balance	1,07				
161000	3	310						
161000	6	310						
161000	9	310						
161000	10	50						
161000	11	50						
161000	12	50						
161000			attack	1,03				
161000			impact	1,07				
161001	3	311						
161001	6	311						
161001	9	311						
161001	10	50						
161001	11	50						
161001	12	50						
161001			attack	1,03				
161001			impact	1,07				
161002	3	312						
161002	6	312						
161002	9	312						
161002	10	50						
161002	11	50						
161002	12	50						
161002			attack	1,03				
161002			impact	1,07				
162000	3	320						
162000	6	320						
162000	9	320						
162000	10	60						
162000	11	60						
162000	12	60						
162000			defence	1,045				
162000			balance	1,07				
163000	3	3100						
163000	6	3100						
163000	9	3150						
163000	10	60						
163000	11	60						
163000	12	60						
163000			defence	1,045				
163000			balance	1,07				
163001	3	3100						
163001	6	3100						
163001	9	3151						
163001	10	60						
163001	11	60						
163001	12	60						
163001			defence	1,045				
163001			balance	1,07				
163002	3	3100						
163002	6	3100						
163002	9	3152						
163002	10	60						
163002	11	60						
163002	12	60						
163002			defence	1,045				
163002			balance	1,07				
164000	3	3200						
164000	6	3200						
164000	9	3250						
164000	10	60						
164000	11	60						
164000	12	60						
164000			defence	1,045				
164000			balance	1,07				
61010	1	910						
61010	3	910						
61010	5	910						
61010	7	910						
61010	9	910						
