id	name	string	tooltip	arg1	arg2	arg3	arg4	uiString1	uiString2	uiString3	uiString4
811900	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
811910	Chained Speed Skating	Increases Casting Speed of second Punch	Increases Casting Speed of your next Punch by {value1}%	Casting Speed Increase Percentage				{value1}%			
812010	Force	Increases Power for 10 seconds upon casting. Increases Power by 1 upon each successful hit by certain chance	Power increases by {value2} for 10 seconds, and Power increases by 1 in {value3}% chance when skill successfully hits the target. Power can increase by {value1} in maximum	Power Max Increase	Initial Power Increase	Additional Increase Rate		{value1}	{value2}	{value3}%	
812020	Extra-Force	Increases Duration of Force	Force effect duration increases by {value1}seconds	Duration Increases				{value1}seconds			
812100	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
812420	Combat Dash	Combat Movement Speed increases for 5 seconds upon casting skill	Combat Movement Speed increases by {value1} for 5 seconds	Movement Speed Increases				{value1}			
812700	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
812710	Impact	Knocks down target when successfully hitting target	Knocks down monsters by {value1}% chance, and knocks down players by {value2}% chance when successfully hitting target	Probability of Monster Knock-down	Player Knock-down Percentage			{value1}%	{value2}%		
812800	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
812820	Blood Leech	Recovers HP when successfully hitting target with maximum decrease of Endurance due to Shield Counter	Recovers total HP by {value1} when successfully hitting target with maximum decrease of Endurance due to Shield Counter	Total HP Recovery				{value1}			
812900	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
812920	Wound	Decreases Movement Speed for 3 seconds and constantly decreases total HP when successfully hitting target.	Movement Speed decreases by  {value1}% and gives periodic damage of {value2}%( {value3} max) of max HP every second by {value4}% chance when successfully hitting target	Movement Speed Decrease Rate	HP Periodic Damage	Maximum Periodic HP Damage	Rate	{value1}%	{value2}%	{value3}	{value4}%
813000	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
813110	Reload	Resets Cooldown when successfully hitting target	Resets cooldown by {value1}% chance when successfully hitting target	Reset Rate				{value1}%			
813210	Recharge	Replenishes partial MP on a successful block	Restores MP by {value1}% on successful block	MP Recovery				{value1}%			
813220	Vigor	Reovers RE on a successful block	Restores RE by {value1} on successful block	RE Recovery				{value1}			
813310	Constancy	Increases duration of summoned shadow	Duration of summoned shadow increases by {value1}%	Increase Rate				{value1}%			
813420	Velocity	Increases Casting Speed	Casting Speed increases by {value1}%	Increase Rate				{value1}%			
820210	Vengeful Pummel	Increases Crit Factor for 3 seconds on a successful block	Crit Factor increases by {value2} in {value1}% chance on successful block	Probability of Activation	Crit Factor Increases			{value1}%	{value2}		
820230	Speed Skating: Retribution	Casting Speed of [Shield Counter] increases upon successful block	Casting Speed for Shield Counter increases by {value2}% in {value1}% chance upon successful block	Probability of Activation	Casting Speed Increases			{value1}%	{value2}%		
820300	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
820310	Impact	Knocks-down target when successfully hitting target	Knocks down monster by {value1}% chance and knocks down player by {value2}% chance	Probability of Monster Knock-down	Player Knock-down Percentage			{value1}%	{value2}%		
820320	Velocity	Casting Speed Increases	Casting Speed increases by {value1}%	Increase Rate				{value1}%			
820410	Amplification	Gain additional Aggro	Gain {value1}% more aggro	Aggro Increase Rate				{value1}%			
820420	Protection	Creates Shield upon casting	Creates barrier that absorbs {value3} damage for {value2} seconds by {value1}% chance	Probability of Activation	Barrier Duration	Damage Absorption		{value1}%	{value2}seconds	{value3}	
820500	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
820510	Reload	Resets skill cooldown when successfully hitting target	Resets cooldown by {value1}% chance	Reset Rate				{value1}%			
820710	Turning Tables	Skill cooldown decreases when hit by a player while being knocked-down	Decreases Skill Cooldown by {value1} when attacked by player while being knocked-down	Decrease Amount				{value1}seconds			
820800	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
820810	Fatal Blow	Crit Factor increases	Critical Damage increases by x {value2} when successfully hitting target with critical hit	Probability of Activation	Crit Factor Multiplier			{value1}%	x{value2}		
821000	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
821010	Insult	Gain additional Aggro	Gain additional aggro by {value1}%	Aggro Increase Rate				{value1}%			
821110	Turning Tables	Resets Skill Cooldown when kncoked-down	Resets Skill Cooldown by {value1}% chance when knocked-down	Reset Rate				{value1}%			
821300	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
821310	Trample	EP Attack Power increases when hitting stunned enemy	EP Attack Power increases by {value1} when successfully hitting knocked-down target	EP Attack Power				{value1}			
821500	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
821610	Purification	Deactivates Debuff upon casting skill	Deactivates Debuff by {value1}% chance	Probability of Activation				{value1}%			
821710	Constancy	Increases duration time	Duration time increases by {value1} seconds	Duration Increases				{value1}seconds			
821720	Force	Increases power and gains power by 1 on each successful hit on targets for 10 seconds	Power increases by {value2} for 10 seconds, and Power increases by 1 in {value3}% chance when skill successfully hits the target. Power can increase by {value1} in maximum	Power Max Increase	Initial Power Increase	Additional Increase Rate		{value1}	{value2}	{value3}%	
821730	Extra-Force	Increases duration time of Force	Duration of Force increases by {value1} seconds	Duration Increases				{value1}seconds			
821800	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
821910	Spirit of Iron	Increase Endurance upon casting skill	Increases Endurance by {value2} for {value1} seconds	Duration	Endurance Increases			{value1}seconds	{value2}		
822100	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
822210	Recovery	Constantly replenishes HP for 10 seconds upon casting. Ends when Iron Will ends	Replenishes HP by {value1} for 10 seconds. Ends when Iron Will effect ends	HP Recovery Every Second				{value1}			
822220	Recycle	Resets Skill Cooldown when Iron Will lasts more than 10 seconds	Resets Skill Cooldown by {value1}% when Iron Will lasts more than 10 seconds	Reset Rate				{value1}%			
822500	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
822510	Wound	Decreases Movement Speed for 3 seconds and constantly decreases total HP when successfully hitting target	Decreases Movement Speed by {value1}% for 3 seconds in {value4}% chance and decreases total HP by {value2}%({value3} second) every second when successfully hitting target	Movement Speed Decrease Rate	HP Periodic Damage	Maximum HP Periodic Damage	Rate	{value1}%	{value2}%	{value3}	{value4}%
822610	Reload	Resets Skill Cooldonw upon casting skill	Resets Cooldown by {value1}% chance	Reset Rate				{value1}%			
822620	Combat Speed Up	Combat Movement Speed increases for 3 seconds upon casting skill	Combat Movement Speed increases by {value1} for 3 seconds	Movement Speed Increases				{value1}			
822710	Spirit of Iron	Increases Endurance of allies for 5 seconds upons casting skill	Increases Endurance of allies by {value2} for 5 seconds in {value1}% chance	Probability of Activation	Endurance Increases			{value1}%	{value2}		
830200	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
830210	Finish	Increases Crit Rate of [Leaping Strike] when target is knocked-down	Increases Crit Factor of [Leaping Strike] by {value1}% chance when the target is knocked-down	Chance to Crit Increases				{value1}%			
830220	Wound	Decreases Movement Speed for 3 seconds and constantly decreases total HP when successfully hitting target	Decreases Movement Speed by {value1}% for 3 seconds in {value4}% chance and decreases total HP by {value2}%({value3} second) every second when successfully hitting target	Movement Speed Decrease Rate	HP Periodic Damage	Maximum HP Periodic Damage	Rate	{value1}%	{value2}%	{value3}	{value4}%
830300	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
830320	Propulsion	Decreases Skill Cooldown of [Measured Slice] when successfully hitting target with critical hit	Cooldown of [Measured Slice] decreases by {value1} seconds	Decrease Amount				{value1}seconds			
830330	Reload	Resets Skill Cooldown when successfully hitting target with [Overhand Strike] and [Eviscerate]	Cooldown of Whirlwind decreases by {value1} seconds when successfully hitting target with [Overhand Strike], [Eviscerate]	Decrease Amount				{value1}seconds			
830420	Combat Speed Up	Combat Movement Speed increases for 3 seconds upon casting skill	Combat Movement Speed increases by {value1} for 3 seconds	Movement Speed Increases				{value1}			
830800	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
830910	Trample	EP Attack Power increases when successfully hitting knocked-down target<br>EP Attack Power triples when hitting knocked-down target with critical hit	EP Attack Power increases by {value1} when successfully hitting knocked-down target, when the attack is critical hit, Attack Power triples	EP Attack Power				{value1}			
831030	Turning Tables	Resets Skill Cooldown when kncoked-down	Resets cooldown by  {value1}% chance when knocked-down	Reset Rate				{value1}%			
831200	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
831210	Wound	Decreases Movement Speed for 3 seconds and constantly decreases total HP when successfully hitting target	Movement Speed decreases by  {value1}% and gives periodic damage of {value2}%( {value3} max) of max HP every second by {value4}% chance when successfully hitting target	Movement Speed Decrease Rate	HP Periodic Damage	Maximum HP Periodic Damage	Rate	{value1}%	{value2}%	{value3}	{value4}%
831300	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
831310	Chained Speed Skating	Increases Casting Speed of your next skill within 5 seconds when successfully hitting target	Casting Speed for your next speed in 5 seconds increases by {value1}%	Casting Speed Increase Percentage				{value1}%			
831400	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
831440	Recharge	Replenishes MP when successfully hitting target. Double recovery of MP upon 3rd hit.	Recovers total MP by {value1} when successfully hitting target. Double recovery when hitting target 3 times	Total MP Recovery				{value1}			
831500	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
831510	Combat Speed Up	Combat Movement Speed increases for 3 seconds upon casting skill	Combat Movement increases by {value1} for 3 seconds	Movement Speed Increases				{value1}			
831520	Chained Speed Skating	Increases Casting Speed of your next skill within 5 seconds when successfully hitting target	Casting Speed for your next skill increases by {value1}%  for 5 seconds when successfully hitting target	Casting Speed Increase Percentage				{value1}%			
831530	Velocity	Casting Speed Increases	Casting Speed increases by {value1}%	Increase Rate				{value1}%			
831600	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
831610	Desperate Pummel	Increases Crit Rate of your next skill within 3 seconds when HP is below 20% and when successfully hitting target	Critical Factor increases by {value1} in 3 seconds when your HP is under 20% and when the skill successfully hits target	Chance to Crit Increases				{value1}			
831620	Spirit of Iron	Decreases damage from enemies while casting skill when HP is below 20%	Damage received while casting spell decreases by {value1}% when your HP is under 20%	Damage Reduction Rate				{value1}%			
831700	Amplification	Attack Speed increases	Attack Speed increases by {value1}%	Increase Rate				{value1}%			
831820	Reload	Resets Skill Cooldown upon casting skill	Resets cooldown by {value1}% chance	Reset Rate				{value1}%			
832300	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
832320	Fresh Start	Decrease Skill Cooldown of [Overhand Strike] and [Eviscerate] when target is killed	Cooldown of [Overhand Strike], [Eviscerate] skills decreases {value1} seconds each when the target dies	Decrease Amount				{value1}seconds			
832340	Recharge	Repenishes MP when successfully hitting target with critical hit	Replenishes MP by  {value1} with successful critical hit to target	Total MP Recovery				{value1}			
832400	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
832420	Propulsion	Decreases Skill Cooldown of [Measured Slice] upon successful critical hit	Cooldown of Measured Slice decreases by {value1} seconds with successful critical hit to target	Decrease Rate				{value1}seconds			
832510	Force	Increases Power for 5 seconds when successfully hitting target with [Ultimate Overhand Strike]. Increases Power by 1 upon each successful  [Ultimate Overhand Strike]	Activates Force for 5 seconds by {value3}% chance when successfully hitting target with [Ultimate Overhand Strike]. Increases Power by {value2}. Increases Power by 1 every second and can increase up to {value1} maximum	Power Max Increase	Initial Power Increase	Additional Increase Rate		{value1}	{value2}	{value3}%	
832520	Extra-Force	Increases duration and number of stacks of Force	Duration of Force increases by {value1} seconds. Number of stacks increases by {value2}	Duration Increases	Number of Stacks Increase			{value1}seconds	{value2}		
840210	Speed Skating: Axe Counter	Increases Casting Speed of [Axe Counter] upon successful block	Casting Speed of chained Axe Counter increases by {value2}% upon successful block	Probability of Activation	Casting Speed Increases			{value1}%	{value2}%		
840300	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
840320	Combat Speed Up	Combat Movement Speed increases for 3 seconds upon casting skill	Combat Movement Speed increases by {value1} for 3 seconds	Movement Speed Increases				{value1}			
840330	Speed Skating	Charging Speed increases during Fiery Rage	Increases charging speed by {value1}% during Fiery Rage	Charging Speed Increase Rate				{value1}%			
840400	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
840610	Constancy	Increases duration of stun effect when successfully hitting target	Effect duration increases by {value1}% when successfully hitting target	Increase Rate				{value1}%			
840620	Chained Speed Skating	Casting Speed of [Flatten] increases for 3 seconds when successfully hitting target	Increases Casting Speed of [Staggering Strike] by {value1}% for 3 seconds when successfully hitting target	Casting Speed Increase Percentage				{value1}%			
840710	Insult	Increases Aggro from attack upon casting skill during Intimidation	Aggro due to enemy attack increases by {value1}% during duration of Mocking Shout while Intimidation effect lasts	Increase Rate				{value1}%			
841000	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
841010	Acceleration	Movement Speed increases while charging	Movement Speed while charging increases by {value1}%	Movement Speed Increase Rate				{value1}%			
841030	Blood Leech	Replenishes HP on each successful hit on target. Double recovery when HP is below 20%	Replenishes HP by {value1}, HP restoration doubles when total HP is below 20%	HP Recovery				{value1}			
841110	Trample	EP Attack Power increases when successfully hitting knocked-down/staggered target<br>EP Attack Power triples when successfully hitting knocked-down/staggered target	EP Attack Power increases by {value1} when successfully hitting the knocked-down or stunned target. When crit, EP Attack Power triples	EP Attack Power				{value1}			
841310	Turning Tables	Resets Skill Cooldown when kncoked-down	Resets cooldown by  {value1}% chance when knocked-down	Reset Rate				{value1}%			
841500	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
841520	Over-Recharge	Creates barrier when successfully hitting target while your HP is full	Creates barrier that absorbs {value3} damage by {value1}%  chance for {vaule2} seconds when your HP is full	Probability of Activation	Barrier Duration	Damage Absorption		{value1}%	{value2}seconds	{value3}	
841800	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
841810	Constant Recharge	Constantly replenishes MP while charging	Constantly replenishes MP by {value1} while charging	MP Recovery Every Second				{value1}			
841820	Speed Skating	Charging Speed increases during Fiery Rage	Increases charging speed by {value1}% during Fiery Rage	Charging Speed Increase Rate				{value1}%			
841910	Constant Recharge	Constantly replenishes MP upon casting skill. Ends when successfully attacking target or being attacked	Constantly replenishes MP by {value2} every second in {value1}% chance. Ends when successfully attacking target or receiving damage	Probability of Activation	MP Recovery Every Second			{value1}%	{value2}		
841920	Spirit of Iron	Increases Endurance for 5 seconds upon casting skill	Endurance increases by {value2} in {value1}% chance. Ends when knocked down	Probability of Activation	Endurance Increases			{value1}%	{value2}		
842100	Mental Strength	Decreases MP consumption upon casting skill	Decreases MP consumption by {value1}	MP Consumption Decreases				{value1}			
842400	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
842420	Reload	Resets skill cooldown when successfully hitting target	Resets Skill Cooldown by {value1}% chance	Reset Rate				{value1}%			
842430	Combat Speed Up	Combat Movement Speed increases for 3 seconds when successfully hitting target	Increases Combat Movement Speed by {value1} for 3 seconds	Movement Speed Increases				{value1}			
842500	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
842600	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
842610	Chained Speed Skating	Increases Casting Speed of [Leaping Strike] when casting [Leaping Strike] within 3 seconds	Casting Speed of [Leaping Strike] increases by {value1}% for 3 seconds	Casting Speed Increase Percentage				{value1}%			
843000	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
843020	Reload	Resets skill cooldown when successfully hitting target	Resets cooldown by {value1}% chance	Reset Rate				{value1}%			
843100	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
843120	Wound	Decreases Movement Speed for 3 seconds and constantly decreases total HP when successfully hitting target	Movement Speed decreases by  {value1}% and gives periodic damage of {value2}%( {value3} max) of max HP every second by {value4}% chance when successfully hitting target	Movement Speed Decrease Rate	HP Periodic Damage	Maximum HP Periodic Damage	Rate	{value1}%	{value2}%	{value3}	{value4}%
843200	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
850200	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
850210	Frostbite	Activates Frostbite that decreases Movement Speed by 10% for 6 secodns.<br/>Movement Speed decreases by 25% when stacked up to 5 times	Activates Frostbite that decreases Movement Speed by 10% for 6 seconds in {value1}% chance. Movement Speed decreases by 25% when stacked 5 times	Rate				{value1}%			
850310	Constancy	Increases duration of stun effect when successfully hitting target	Effect duration increases by {value2}% in {value1}% chance	Probability of Activation	Increase Rate			{value1}%	{value2}%		
850400	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
850510	Recharge	Replenishes MP when successfully hitting target during Mana Infusion	Replenishes total MP by {value1} when successfully hitting target during Mana Infusion	Total MP Recovery when successfully hitting target				{value1}			
850600	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
850610	Burnt Wound	Activates Burnt Wound that constantly decreases 0.5% of total HP (1000 max) every second when successfully hitting target	Decreases 0.5% of total HP (1000 max) every second by {value1}% chance for 6 seconds	Rate				{value1}%			
850630	Finish	Crit Rate increases when successfully hitting knocked-down target	Crit Factor increases by {value1}% when successfully hitting the knocked-down target	Chance to Crit Increases				{value1}%			
850800	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
850810	Burnt Wound	Activates Burnt Wound that constantly decreases 0.5% of total HP (1000 max) every second when successfully hitting target	Decreases 0.5% of total HP (1000 max) every second by {value1}% chance for 6 seconds	Rate				{value1}%			
850910	Amplification	Damage increases by {value1}% when activated with Burst of Celerity	Damage increases by {value1}% when activated with Burst of Celerity	Increase Rate				{value1}%			
850921								{value1}			
851010	Amplification	Increases amount of maximum damage absorption	Maximum damage absorption increases by {value1}%	Additional Damage Absorption Increase Rate				{value1}%			
851020	Recycle	Resets Skill Cooldown when Mana Barrier lasts more than 30 seconds	Resets cooldown by {value1}% chance if Mana Barrier lasts more than 30 seconds	Reset Rate				{value1}%			
851100	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
851110											
851200	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
851210	Reload	Resets skill cooldown when successfully hitting target	Resets Cooldown by {value1}% chance	Reset Rate				{value1}%			
851410	Turning Tables	Resets Skill Cooldown when kncoked-down	Resets cooldown by  {value1}% chance when knocked-down	Reset Rate				{value1}%			
851420	Speed Skating: Traps	Increases Casting Speed of [Trap Skills] within 5 seconds	Increases Casting Speed of [Trap Skills] by {value1}% when casting [Trap Skills] within 5 seconds	Increase Rate				{value1}%			
851700	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
851800	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
851810	Frostbite	Activates Frostbite that decreases Movement Speed by 10% for 6 secodns.<br/>Movement Speed decreases by 25% when stacked up to 5 times	Activates Frostbite that decreases Movement Speed by 10% for 6 seconds in {value1}% chance. Movement Speed decreases by 25% when stacked 5 times	Rate				{value1}%			
852000	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
852010	Burnt Wound	Activates Burnt Wound that constantly decreases 0.5% of total HP (1000 max) every second when successfully hitting target	Decreases 0.5% of total HP (1000 max) every second by {value1}% chance for 6 seconds	Rate				{value1}%			
852210	Burnt Wound	Activates Burnt Wound that constantly decreases 0.5% of total HP (1000 max) every second when successfully hitting target	Decreases 0.5% of total HP (1000 max) every second by {value1}% chance for 6 seconds	Rate				{value1}%			
852220	Burning Flame	Increases Skill Damage when successfully hitting monster affected with Burnt Wound<br/>Reduces Crit Rate of player when successfully hitting player affected with Burnt Wound	Increases Skill Damage by {value1} times when successfully hitting monster with Burnt Wound. Decreases Crit Resist by {value2} when successfully hitting player with Burnt Wound.	Skill Damage increases when successfully hitting monster	Crit Resist Decreases when successfully hitting player			x{value1}	{value2}		
852420	Constanct Recharge	Constantly replenishes MP every second upon casting skill. Ends when attacked	Constantly replenishes MP by {value1} every second upon casting skill. Ends when attacked	MP Recovery Every Second				{value1}			
852700	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
852710	Frostbite	Decreases Movement Speed by 10% for 6 seconds.<br/>Movement Speed decreases by 25% when Frostbite stacks up to 5 times	Activates Frostbite that decreases Movement Speed by 10% for 6 seconds in {value1}% chance. Movement Speed decreases by 25% when stacked 5 times	Rate				{value1}%			
852720	Reload	Decreases Skill Cooldown when successfully hitting target with [Ice Needle] and [Glacial Retreat]	Decreases Skill Cooldown of Hail Storm by {value1} when successfully hitting target with [Ice Needle] and [Glacial Retreat]	Decrease Rate				{value1}seconds			
852730	Combat Dash	Increases Combat Movement Speed for 5 seconds	Increases Combat Movement Speed by {value1} for 5 seconds	Movement Speed Increases				{value1}			
853000	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
853020	Velocity	Casting Speed Increases	Increases Casting Speed by {value1}%	Increase Rate				{value1}%			
860200	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
860300	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
860310	Combo Drive	Resets skill cooldown when successfully hitting target. Charging Speed increases when using skill within 3 seconds	Resets Skill Cooldown by {value1}% chance. Increases charging speed by {value2}% when using the skill within 3 seconds	Reset Rate	Charging Speed Increases			{value1}%	{value2}%		
860320	Wound	Decreases Movement Speed for 3 seconds when successfully hitting target. Constantly decreases total HP	Movement Speed decreases by  {value1}% and gives periodic damage of {value2}%( {value3} max) of max HP every second by {value4}% chance when successfully hitting target	Movement Speed Decrease Rate	HP Periodic Damage	Maximum HP Periodic Damage	Rate	{value1}%	{value2}%	{value3}	{value4}%
860400	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
860410	Recovery	Replenishes HP on each successful hit on target. Double replenishment on HP when target dies in PVP	Replenishes HP by {value1} with each successful hit. Doubles HP replenishment when target dies in PVP	HP Recovery				{value1}			
860430	Reload	Resets Skill Cooldown when target dies	Resets Skill Cooldown by {value1}% chance when target dies	Reset Rate				{value1}%			
860500	Strengthen	EP Attack Power increases	EP Attack Power increases by {value1}	EP Attack Power				{value1}			
860510	Indomitable	Decreases percentage of being knocked-down/staggered by monsters	Percentage of being knocked-donw/staggered by monsters while casting skill decreases by {value1}%	Decrease Rate				{value1}%			
860520	Spirit of Iron	Decreases damage from enemies while casting skill	Damage received while casting skill decreases by {value1}%	Damage Reduction Rate				{value1}%			
860530	Trample	EP Attack Power increases when attacking knocked-down enemy<br>EP Attack Power triples when attacking knocked-down enemy with critical hit	EP Attack Power increases by {value1} when successfully hitting knocked-down target. EP Attack Power triples when successfully hitting enemy with critical hit	EP Attack Power				{value1}			
860540	Velocity	Casting Speed Increases	Casting Speed increases by {value1}%	Increase Rate				{value1}%			
860610	Inescapable	Resets Skill Cooldown of Trap Skills when successfully when hitting target	Resets Cooldown by  {value1}% chance when successfully hitting target with Trap skills	Reset Rate				{value1}%			
860620	Combat Speed Up	Combat Movement Speed increases for 3 seconds upon casting skill	Combat Movement Speed increases by {value1} for 3 seconds	Movement Speed Increases				{value1}			
860630	Reload	Resets Skill Cooldown upon casting skill	Resets Cooldown by {value1}% chance	Reset Rate				{value1}%			
860710	Glorious	Will not be attacked upon casting skill	Invincible for {value1} seconds	Duration				{value1}seconds			
860720	Reload	Resets Skill Cooldown upon casting skill	Resets Cooldown by {value1}% chance	Reset Rate				{value1}%			
